Period,Media,Number of news
21 Feb-23 Feb,Internet,56285
21 Feb-23 Feb,Newspapers and magazines,4400
21 Feb-23 Feb,TV,4491
24 Feb-1 Mar,Internet,248251
24 Feb-1 Mar,Newspapers and magazines,33935
24 Feb-1 Mar,TV,6240
2 Mar-8 Mar,Internet,270123
2 Mar-8 Mar,Newspapers and magazines,37981
2 Mar-8 Mar,TV,5895
9 Mar-15 Mar,Internet,421354
9 Mar-15 Mar,Newspapers and magazines,48903
9 Mar-15 Mar,TV,6277
16 Mar-22 Mar,Internet,410942
16 Mar-22 Mar,Newspapers and magazines,46323
16 Mar-22 Mar,TV,5950
23 Mar-29 Mar,Internet,409252
23 Mar-29 Mar,Newspapers and magazines,43236
23 Mar-29 Mar,TV,5857
