Date,Type,Share of respondents
Jun 20,Disapprove,71
Jun 20,Approve,25
Jul 20,Disapprove,77
Jul 20,Approve,18
Aug 20,Disapprove,75
Aug 20,Approve,21
Sep 20,Disapprove,80
Sep 20,Approve,17
Oct 20,Disapprove,77
Oct 20,Approve,19
Nov 20,Disapprove,73
Nov 20,Approve,23
Dec 20,Disapprove,82
Dec 20,Approve,15
Jan 21,Disapprove,71
Jan 21,Approve,25
Feb 21,Disapprove,62
Feb 21,Approve,35
Mar 21,Disapprove,61
Mar 21,Approve,36
Apr 21,Disapprove,62
Apr 21,Approve,33
May 21,Disapprove,63
May 21,Approve,31
Jun 21,Disapprove,71
Jun 21,Approve,26
