Year,Region,Life expectancy in years
2005-2007,Canada,80.4
2005-2007,Northwest Territories,77.2
2006-2008,Canada,80.6
2006-2008,Northwest Territories,76.4
2007-2009,Canada,80.8
2007-2009,Northwest Territories,76.6
2008-2010,Canada,81.1
2008-2010,Northwest Territories,76.7
2009-2011,Canada,81.4
2009-2011,Northwest Territories,77.5
2010-2012,Canada,81.6
2010-2012,Northwest Territories,77.9
2011-2013,Canada,81.7
2011-2013,Northwest Territories,77.8
2012-2014,Canada,81.8
2012-2014,Northwest Territories,77.6
2013-2015,Canada,81.9
2013-2015,Northwest Territories,77.6
2014-2016,Canada,81.9
2014-2016,Northwest Territories,77.2
2015-2017,Canada,81.9
2015-2017,Northwest Territories,77.1
2016-2018,Canada,82
2016-2018,Northwest Territories,76.9
2017-2019,Canada,82.1
2017-2019,Northwest Territories,77.4
