Year,Answer,Ratio of voters who say(%)
2000,It really matters who wins the election,50
2000,Things will be the same,44
2004,It really matters who wins the election,67
2004,Things will be the same,29
2008,It really matters who wins the election,63
2008,Things will be the same,32
2012,It really matters who wins the election,63
2012,Things will be the same,34
2016,It really matters who wins the election,74
2016,Things will be the same,22
2020,It really matters who wins the election,83
2020,Things will be the same,16
