Year,Type,Favorability ratio of US on China(%)
2005,Favorable,43
2005,Unfavorable,35
2006,Favorable,52
2006,Unfavorable,29
2007,Favorable,42
2007,Unfavorable,39
2008,Favorable,39
2008,Unfavorable,42
2009,Favorable,50
2009,Unfavorable,38
2010,Favorable,49
2010,Unfavorable,36
2011,Favorable,51
2011,Unfavorable,36
2012,Favorable,40
2012,Unfavorable,40
2013,Favorable,37
2013,Unfavorable,52
2014,Favorable,35
2014,Unfavorable,55
2015,Favorable,38
2015,Unfavorable,54
2016,Favorable,37
2016,Unfavorable,55
2017,Favorable,44
2017,Unfavorable,47
