Year,Group,YLabel
2000,Nominal,3438.1
2001,Nominal,3623.42
2002,Nominal,3697.55
2003,Nominal,3919.94
2004,Nominal,4142.33
2005,Nominal,4587.1
2006,Nominal,5068.94
2007,Nominal,5587.84
2008,Nominal,6032.62
2009,Nominal,6106.75
2010,Nominal,6662.71
2011,Nominal,7255.75
2012,Nominal,7700.52
2013,Nominal,8182.36
2014,Nominal,8849.52
2015,Nominal,9146.03
2016,Nominal,9368.42
2017,Nominal,9627.87
2018,Nominal,10146.78
2019,Nominal,10109.71
2000,2019/20 real prices,5031.88
2001,2019/20 real prices,5106
2002,2019/20 real prices,5180.13
2003,2019/20 real prices,5402.52
2004,2019/20 real prices,5587.84
2005,2019/20 real prices,5921.42
2006,2019/20 real prices,6440.33
2007,2019/20 real prices,6885.1
2008,2019/20 real prices,7255.75
2009,2019/20 real prices,7366.94
2010,2019/20 real prices,7700.52
2011,2019/20 real prices,8330.62
2012,2019/20 real prices,8701.26
2013,2019/20 real prices,9108.97
2014,2019/20 real prices,9590.81
2015,2019/20 real prices,9924.39
2016,2019/20 real prices,9924.39
2017,2019/20 real prices,9961.45
2018,2019/20 real prices,10369.16
2019,2019/20 real prices,10146.78
