Year,Category,Value_Million_USD
2016,Total contributions to presidential candidates,1465.03
2016,Total spending by presidential candidates,1449.71
2012,Total contributions to presidential candidates,1372.9
2012,Total spending by presidential candidates,1369.32
2008,Total contributions to presidential candidates,1741.97
2008,Total spending by presidential candidates,1672.59
2004,Total contributions to presidential candidates,890.19
2004,Total spending by presidential candidates,847.64
2000,Total contributions to presidential candidates,528.9
2000,Total spending by presidential candidates,343.1
1996,Total contributions to presidential candidates,425.7
1996,Total spending by presidential candidates,239.9
1992,Total contributions to presidential candidates,331.1
1992,Total spending by presidential candidates,192.2
1988,Total contributions to presidential candidates,324.4
1988,Total spending by presidential candidates,210.7
1984,Total contributions to presidential candidates,202
1984,Total spending by presidential candidates,103.6
1980,Total contributions to presidential candidates,161.9
1980,Total spending by presidential candidates,92.3
1976,Total contributions to presidential candidates,171
1976,Total spending by presidential candidates,66.9
