Item,Response,Share of respondents
Travel and hotels,Much more important/A little more important,0.68
Travel and hotels,About the same,0.24
Travel and hotels,A little less important/Much less important,0.08
Electronic items,Much more important/A little more important,0.67
Electronic items,About the same,0.24
Electronic items,A little less important/Much less important,0.09
Books,Much more important/A little more important,0.63
Books,About the same,0.3
Books,A little less important/Much less important,0.08
Music – CDs/DVDs,Much more important/A little more important,0.59
Music – CDs/DVDs,About the same,0.31
Music – CDs/DVDs,A little less important/Much less important,0.1
Home improvement,Much more important/A little more important,0.54
Home improvement,About the same,0.27
Home improvement,A little less important/Much less important,0.19
Beauty products,Much more important/A little more important,0.44
Beauty products,About the same,0.3
Beauty products,A little less important/Much less important,0.26
