Period,Group,Number of fatalities
2013/14,Fatalities (excluding suicide),40
2014/15,Fatalities (excluding suicide),49
2015/16,Fatalities (excluding suicide),46
2016/17,Fatalities (excluding suicide),39
2017/18,Fatalities (excluding suicide),49
2018/19,Fatalities (excluding suicide),40
2019/20,Fatalities (excluding suicide),31
2013/14,Suicide fatalities,275
2014/15,Suicide fatalities,286
2015/16,Suicide fatalities,251
2016/17,Suicide fatalities,237
2017/18,Suicide fatalities,250
2018/19,Suicide fatalities,271
2019/20,Suicide fatalities,283
