Year,Sector,Share_of_Total_Employment
2010,Agriculture,0.1422
2010,Industry,0.2774
2010,Services,0.5804
2011,Agriculture,0.1362
2011,Industry,0.2909
2011,Services,0.594
2012,Agriculture,0.127
2012,Industry,0.2857
2012,Services,0.5873
2013,Agriculture,0.1299
2013,Industry,0.2836
2013,Services,0.5865
2014,Agriculture,0.1223
2014,Industry,0.2802
2014,Services,0.5975
2015,Agriculture,0.1247
2015,Industry,0.2752
2015,Services,0.6001
2016,Agriculture,0.1137
2016,Industry,0.2749
2016,Services,0.6114
2017,Agriculture,0.1099
2017,Industry,0.274
2017,Services,0.6161
2018,Agriculture,0.1067
2018,Industry,0.2715
2018,Services,0.6218
2019,Agriculture,0.1036
2019,Industry,0.27
2019,Services,0.6264
2020,Agriculture,0.1009
2020,Industry,0.2683
2020,Services,0.6308
