Method,Frequency,Share_of_Respondents
In person,EVERY DAY,0.25
In person,EVERY FEW DAYS,0.39
In person,LESS OFTEN,0.32
Text messaging,EVERY DAY,0.55
Text messaging,EVERY FEW DAYS,0.2
Text messaging,LESS OFTEN,0.13
Talking on the phone,EVERY DAY,0.19
Talking on the phone,EVERY FEW DAYS,0.24
Talking on the phone,LESS OFTEN,0.41
Instant messaging,EVERY DAY,0.27
Instant messaging,EVERY FEW DAYS,0.26
Instant messaging,LESS OFTEN,0.25
On social media sites,EVERY DAY,0.23
On social media sites,EVERY FEW DAYS,0.28
On social media sites,LESS OFTEN,0.21
Emailing,EVERY DAY,0.06
Emailing,EVERY FEW DAYS,0.14
Emailing,LESS OFTEN,0.43
Video chatting,EVERY DAY,0.07
Video chatting,EVERY FEW DAYS,0.14
Video chatting,LESS OFTEN,0.37
Video gaming,EVERY DAY,0.13
Video gaming,EVERY FEW DAYS,0.16
Video gaming,LESS OFTEN,0.24
On messaging apps,EVERY DAY,0.14
On messaging apps,EVERY FEW DAYS,0.11
On messaging apps,LESS OFTEN,0.17
