World Region,Age Group,Share of regional population
Asia,0-14,23.5
Asia,15-24,15.4
Asia,25-49,36.6
Asia,50 and over,24.5
Africa,0-14,40.3
Africa,15-24,19.3
Africa,25-49,29.2
Africa,50 and over,11.2
Latin America and the Carribean,0-14,23.9
Latin America and the Carribean,15-24,16.5
Latin America and the Carribean,25-49,36.2
Latin America and the Carribean,50 and over,23.4
Europe,0-14,16.1
Europe,15-24,10.3
Europe,25-49,34.1
Europe,50 and over,39.6
Nothern America,0-14,18.1
Nothern America,15-24,13
Nothern America,25-49,33
Nothern America,50 and over,35.9
Oceania,0-14,23.6
Oceania,15-24,14.3
Oceania,25-49,33.6
Oceania,50 and over,28.5
