Year,Status,Share of Respondents(%)
2006,Present level,42
2006,Increased,17
2006,Decreased,39
2007,Present level,35
2007,Increased,16
2007,Decreased,45
2008,Present level,39
2008,Increased,18
2008,Decreased,39
2009,Present level,32
2009,Increased,14
2009,Decreased,50
2010,Present level,34
2010,Increased,17
2010,Decreased,45
2011,Present level,35
2011,Increased,18
2011,Decreased,43
2012,Present level,42
2012,Increased,21
2012,Decreased,35
2013,Present level,40
2013,Increased,23
2013,Decreased,35
2014,Present level,33
2014,Increased,22
2014,Decreased,35
2015,Present level,40
2015,Increased,25
2015,Decreased,34
2016,Present level,38
2016,Increased,21
2016,Decreased,38
2017,Present level,38
2017,Increased,24
2017,Decreased,35
2018,Present level,39
2018,Increased,28
2018,Decreased,29
2019,Present level,37
2019,Increased,27
2019,Decreased,35
2020,Present level,36
2020,Increased,34
2020,Decreased,28
