Year,Product_Category,Revenue_Million_USD
2016,Sportswear,8129
2016,Running,4401
2016,Jordan Brand,2753
2016,Training,3150
2016,Football (Soccer),2143
2016,NIKE Basketball,1378
2016,Others,5295
2017,Sportswear,9272
2017,Running,4576
2017,Jordan Brand,3098
2017,Training,3080
2017,Football (Soccer),1984
2017,NIKE Basketball,1292
2017,Others,5392
2018,Sportswear,10720
2018,Running,4496
2018,Jordan Brand,2856
2018,Training,3126
2018,Football (Soccer),2146
2018,NIKE Basketball,1494
2018,Others,5463
2019,Sportswear,12442
2019,Running,4488
2019,Jordan Brand,3138
2019,Training,3137
2019,Football (Soccer),1894
2019,NIKE Basketball,1597
2019,Others,5854
2020,Sportswear,12285
2020,Running,3830
2020,Jordan Brand,3609
2020,Training,2688
2020,Football (Soccer),1575
2020,NIKE Basketball,1508
2020,Others,5113
