Year,Region,Number_of_Employees
2011,Germany,9846
2011,Great Britain,18201
2011,Spain,9892
2011,Rest of Europe,21037
2011,North and Sourth America,8149
2011,Other regions,7082
2012,Germany,9882
2012,Great Britain,17318
2012,Spain,9226
2012,Rest of Europe,21310
2012,North and Sourth America,8199
2012,Other regions,7877
2013,Germany,10157
2013,Great Britain,17156
2013,Spain,9395
2013,Rest of Europe,20516
2013,North and Sourth America,8361
2013,Other regions,8860
2014,Germany,9914
2014,Great Britain,15972
2014,Spain,10556
2014,Rest of Europe,20391
2014,North and Sourth America,8563
2014,Other regions,11201
2015,Germany,10047
2015,Great Britain,13036
2015,Spain,9115
2015,Rest of Europe,19301
2015,North and Sourth America,3428
2015,Other regions,7922
2016,Germany,10132
2016,Great Britain,13409
2016,Spain,8967
2016,Rest of Europe,19933
2016,North and Sourth America,3768
2016,Other regions,7032
2017,Germany,10274
2017,Great Britain,13354
2017,Spain,9607
2017,Rest of Europe,20911
2017,North and Sourth America,4535
2017,Other regions,7896
2018,Germany,10345
2018,Great Britain,11770
2018,Spain,9952
2018,Rest of Europe,22594
2018,North and Sourth America,5005
2018,Other regions,9880
2019,Germany,10419
2019,Great Britain,11511
2019,Spain,9399
2019,Rest of Europe,16144
2019,North and Sourth America,5371
2019,Other regions,18629
2020,Germany,8841
2020,Great Britain,10478
2020,Spain,5564
2020,Rest of Europe,12028
2020,North and Sourth America,3080
2020,Other regions,8339
