Year,Product sector,Share of retail revenue from foreign operations
2009,Apparel & accessories,24.7
2009,Hardlines and leisure goods,21.2
2009,FMCG,24.8
2009,Diversified,23.8
2010,Apparel & accessories,27.7
2010,Hardlines and leisure goods,25.1
2010,FMCG,22.7
2010,Diversified,21.9
2011,Apparel & accessories,29.5
2011,Hardlines and leisure goods,26.6
2011,FMCG,22.6
2011,Diversified,22.5
2012,Apparel & accessories,29.8
2012,Hardlines and leisure goods,26.6
2012,FMCG,23.3
2012,Diversified,22.6
2013,Apparel & accessories,31.6
2013,Hardlines and leisure goods,25.2
2013,FMCG,23.2
2013,Diversified,23.5
2014,Apparel & accessories,31.6
2014,Hardlines and leisure goods,24.5
2014,FMCG,22.2
2014,Diversified,22.2
2015,Apparel & accessories,32
2015,Hardlines and leisure goods,23.8
2015,FMCG,21.5
2015,Diversified,20.3
2016,Apparel & accessories,35.1
2016,Hardlines and leisure goods,22.4
2016,FMCG,21.1
2016,Diversified,20.4
2017,Apparel & accessories,40.4
2017,Hardlines and leisure goods,22.5
2017,FMCG,21.7
2017,Diversified,21.5
2018,Apparel & accessories,38.5
2018,Hardlines and leisure goods,22.2
2018,FMCG,21.5
2018,Diversified,11.4
2019,Apparel & accessories,39
2019,Hardlines and leisure goods,20.5
2019,FMCG,21.2
2019,Diversified,9.7
