Country,Opinion,Percentage
Greece,A worse place to live,63
Greece,Doesn't make much difference,27
Greece,A better place to live,10
Italy,A worse place to live,53
Italy,Doesn't make much difference,25
Italy,A better place to live,18
Hungary,A worse place to live,41
Hungary,Doesn't make much difference,39
Hungary,A better place to live,17
Poland,A worse place to live,40
Poland,Doesn't make much difference,33
Poland,A better place to live,14
Netherlands,A worse place to live,36
Netherlands,Doesn't make much difference,46
Netherlands,A better place to live,17
Germany,A worse place to live,31
Germany,Doesn't make much difference,40
Germany,A better place to live,26
UK,A worse place to live,31
UK,Doesn't make much difference,34
UK,A better place to live,33
Sweden,A worse place to live,26
Sweden,Doesn't make much difference,38
Sweden,A better place to live,36
France,A worse place to live,24
France,Doesn't make much difference,48
France,A better place to live,26
Spain,A worse place to live,22
Spain,Doesn't make much difference,45
Spain,A better place to live,31
