Quarter/Year,Region,Number of deals
Q3 2015,Australia,394
Q3 2015,China/Hong Kong,896
Q3 2015,India,271
Q3 2015,Japan,381
Q4 2015,Australia,402
Q4 2015,China/Hong Kong,932
Q4 2015,India,241
Q4 2015,Japan,384
Q1 2016,Australia,362
Q1 2016,China/Hong Kong,746
Q1 2016,India,286
Q1 2016,Japan,425
Q2 2016,Australia,358
Q2 2016,China/Hong Kong,732
Q2 2016,India,254
Q2 2016,Japan,394
Q3 2016,Australia,364
Q3 2016,China/Hong Kong,916
Q3 2016,India,258
Q3 2016,Japan,437
Q4 2016,Australia,404
Q4 2016,China/Hong Kong,1059
Q4 2016,India,221
Q4 2016,Japan,445
Q1 2017,Australia,321
Q1 2017,China/Hong Kong,771
Q1 2017,India,228
Q1 2017,Japan,446
Q2 2017,Australia,328
Q2 2017,China/Hong Kong,930
Q2 2017,India,173
Q2 2017,Japan,456
Q3 2017,Australia,328
Q3 2017,China/Hong Kong,983
Q3 2017,India,156
Q3 2017,Japan,492
