Year,Metric,Percentage,
2003,Favorable view of US,83,
2003,Confidence in US president,78,
2004,Favorable view of US,83,
2004,Confidence in US president,78,
2007,Favorable view of US,78,
2007,Confidence in US president,57,
2009,Favorable view of US,71,
2009,Confidence in US president,56,
2010,Favorable view of US,72,
2010,Confidence in US president,49,
2011,Favorable view of US,72,
2011,Confidence in US president,49,
2013,Favorable view of US,83,
2013,Confidence in US president,61,
2014,Favorable view of US,84,
2014,Confidence in US president,71,
2015,Favorable view of US,81,
2015,Confidence in US president,49,
2017,Favorable view of US,81,
2017,Confidence in US president,56,
