Year,Favorability_Direction,Favorable_View_Percentage
2007,US favorability in Russia,41
2007,Russia favorability in US,44
2009,US favorability in Russia,44
2009,Russia favorability in US,43
2010,US favorability in Russia,57
2010,Russia favorability in US,49
2011,US favorability in Russia,56
2011,Russia favorability in US,49
2012,US favorability in Russia,52
2012,Russia favorability in US,37
2013,US favorability in Russia,51
2013,Russia favorability in US,37
2014,US favorability in Russia,23
2014,Russia favorability in US,19
2015,US favorability in Russia,15
2015,Russia favorability in US,22
2017,US favorability in Russia,41
2017,Russia favorability in US,29
