Year,Opinion_Type,Percentage_of_Respondents
2006,Favorable view of US,63
2006,Confidence in US President,32
2007,Favorable view of US,61
2007,Confidence in US President,35
2008,Favorable view of US,50
2008,Confidence in US President,25
2009,Favorable view of US,59
2009,Confidence in US President,85
2010,Favorable view of US,66
2010,Confidence in US President,76
2011,Favorable view of US,85
2011,Confidence in US President,81
2012,Favorable view of US,72
2012,Confidence in US President,74
2013,Favorable view of US,69
2013,Confidence in US President,70
2014,Favorable view of US,66
2014,Confidence in US President,60
2015,Favorable view of US,68
2015,Confidence in US President,66
2016,Favorable view of US,72
2016,Confidence in US President,78
2017,Favorable view of US,57
2017,Confidence in US President,24
