Date_Range,Candidate,Share_of_Respondents
May 28 – Jun 17,Obama,0.46
May 28 – Jun 17,Romney,0.46
Jun 4 – Jun 24,Obama,0.45
Jun 4 – Jun 24,Romney,0.46
Jun 11 – Jul 1,Obama,0.46
Jun 11 – Jul 1,Romney,0.45
Jun 18 – Jul 8,Obama,0.47
Jun 18 – Jul 8,Romney,0.45
Jun 25 – Jul 15,Obama,0.47
Jun 25 – Jul 15,Romney,0.45
Jul 2 – Jul 22,Obama,0.46
Jul 2 – Jul 22,Romney,0.45
Jul 9 – Jul 29,Obama,0.46
Jul 9 – Jul 29,Romney,0.46
Jul 16 – Aug 5,Obama,0.46
Jul 16 – Aug 5,Romney,0.46
Jul 23 – Aug 12,Obama,0.46
Jul 23 – Aug 12,Romney,0.46
Jul 30 – Aug 19,Obama,0.46
Jul 30 – Aug 19,Romney,0.46
Aug 6 – Aug 26,Obama,0.46
Aug 6 – Aug 26,Romney,0.46
Aug 13 – Sep 2,Obama,0.47
Aug 13 – Sep 2,Romney,0.46
Aug 20 – Sep 9,Obama,0.48
Aug 20 – Sep 9,Romney,0.45
Aug 27 – Sep 16,Obama,0.48
Aug 27 – Sep 16,Romney,0.45
Sep 3 – Sep 23,Obama,0.49
Sep 3 – Sep 23,Romney,0.45
Sep 10 – Sep 30,Obama,0.48
Sep 10 – Sep 30,Romney,0.45
Sep 17 – Oct 7,Obama,0.49
Sep 17 – Oct 7,Romney,0.45
Sep 24 – Oct 14,Obama,0.49
Sep 24 – Oct 14,Romney,0.46
Oct 1 – Oct 21,Obama,0.48
Oct 1 – Oct 21,Romney,0.47
Oct 8 – Oct 28,Obama,0.47
Oct 8 – Oct 28,Romney,0.47
