Year,Gender,Median weekly earnings in GBP
1997,Male,356.9
1998,Male,365.7
1999,Male,383.9
2000,Male,390.1
2001,Male,415.7
2002,Male,430.2
2003,Male,444.6
2004,Male,448.1
2005,Male,471.0
2006,Male,484.6
2007,Male,498.3
2008,Male,522.0
2009,Male,531.0
2010,Male,537.9
2011,Male,538.5
2012,Male,542.7
2013,Male,556.2
2014,Male,558.5
2015,Male,567.2
2016,Male,576.9
2017,Male,590.9
2018,Male,609.1
2019,Male,629.2
2020,Male,613.2
1997,Female,265.2
1998,Female,276.3
1999,Female,288.5
2000,Female,299.6
2001,Female,314.3
2002,Female,330.4
2003,Female,343.0
2004,Female,357.2
2005,Female,371.4
2006,Female,389.5
2007,Female,394.8
2008,Female,407.7
2009,Female,425.8
2010,Female,439.2
2011,Female,445.1
2012,Female,448.2
2013,Female,458.9
2014,Female,461.8
2015,Female,470.2
2016,Female,479.8
2017,Female,493.2
2018,Female,508.3
2019,Female,527.9
2020,Female,544.7
