Year,Engagement Status,Share of respondents
2012,Not engaged,52
2012,Engaged,30
2012,Actively disengaged,18
2011,Not engaged,52
2011,Engaged,29
2011,Actively disengaged,19
2010,Not engaged,53
2010,Engaged,28
2010,Actively disengaged,19
2009,Not engaged,54
2009,Engaged,28
2009,Actively disengaged,18
2008,Not engaged,51
2008,Engaged,29
2008,Actively disengaged,20
2007,Not engaged,50
2007,Engaged,30
2007,Actively disengaged,20
2006,Not engaged,55
2006,Engaged,30
2006,Actively disengaged,15
2005,Not engaged,59
2005,Engaged,26
2005,Actively disengaged,15
2004,Not engaged,54
2004,Engaged,29
2004,Actively disengaged,17
2003,Not engaged,55
2003,Engaged,28
2003,Actively disengaged,17
2002,Not engaged,53
2002,Engaged,30
2002,Actively disengaged,17
