Year,Party,Percentage
2005,Rep/Lean Rep,93
2005,Dem/Lean Dem,36
2006,Rep/Lean Rep,84
2006,Dem/Lean Dem,23
2007,Rep/Lean Rep,78
2007,Dem/Lean Dem,24
2008,Rep/Lean Rep,70
2008,Dem/Lean Dem,15
2009,Dem/Lean Dem,95
2009,Rep/Lean Rep,47
2010,Dem/Lean Dem,89
2010,Rep/Lean Rep,34
2011,Dem/Lean Dem,88
2011,Rep/Lean Rep,33
2012,Dem/Lean Dem,86
2012,Rep/Lean Rep,31
2013,Dem/Lean Dem,84
2013,Rep/Lean Rep,24
2014,Dem/Lean Dem,82
2014,Rep/Lean Rep,27
2015,Dem/Lean Dem,84
2015,Rep/Lean Rep,28
2016,Dem/Lean Dem,90
2016,Rep/Lean Rep,24
2017,Rep/Lean Rep,84
2017,Dem/Lean Dem,16
2018,Rep/Lean Rep,88
2018,Dem/Lean Dem,16
