Year,Type,Revenue and expending in million Canadian dollars
2007,Revenue,7867
2007,Expenditure,8513
2008,Revenue,8146
2008,Expenditure,9114
2009,Revenue,8209
2009,Expenditure,9276
2010,Revenue,8576
2010,Expenditure,9578
2011,Revenue,8628
2011,Expenditure,9741
2012,Revenue,8567
2012,Expenditure,9858
2013,Revenue,8720
2013,Expenditure,10019
2014,Revenue,9057
2014,Expenditure,10078
2015,Revenue,9270
2015,Expenditure,10480
2016,Revenue,9798
2016,Expenditure,10852
2017,Revenue,10414
2017,Expenditure,11185
2018,Revenue,10816
2018,Expenditure,11535
2019,Revenue,11331
2019,Expenditure,11961
