Year,Type,Ratio of news sources(%)
2002,Cable news networks,44
2002,Broadcase network news,30
2002,Local news programming,16
2003,Cable news networks,39
2003,Broadcase network news,29
2003,Local news programming,17
2004,Cable news networks,40
2004,Broadcase network news,29
2004,Local news programming,15
2005,Cable news networks,43
2005,Broadcase network news,30
2005,Local news programming,16
2006,Cable news networks,42
2006,Broadcase network news,27
2006,Local news programming,13
2007,Cable news networks,37
2007,Broadcase network news,27
2007,Local news programming,18
2008,Cable news networks,40
2008,Broadcase network news,24
2008,Local news programming,15
2009,Cable news networks,39
2009,Broadcase network news,24
2009,Local news programming,16
2010,Cable news networks,36
2010,Broadcase network news,22
2010,Local news programming,16
