Unnamed__0,title,production_budget
0,from dusk till dawn,20000000
1,broken arrow,65000000
2,city hall,40000000
3,happy gilmore,10000000
4,fargo,7000000
5,the craft,15000000
6,twister,88000000
7,dragonheart,57000000
8,the phantom,45000000
9,the rock,75000000
10,the cable guy,47000000
11,eraser,100000000
12,the hunchback of notre dame,100000000
13,the nutty professor,55000000
14,striptease,50000000
15,independence day,75000000
16,phenomenon,32000000
17,courage under fire,46000000
18,multiplicity,45000000
19,trainspotting,3100000
20,a time to kill,40000000
21,kingpin,25000000
22,the adventures of pinocchio,25000000
23,chain reaction,55000000
24,escape from l.a.,50000000
25,jack,45000000
26,tin cup,45000000
27,the fan,55000000
28,the island of dr. moreau,40000000
29,the first wives club,30000000
30,extreme measures,38000000
31,that thing you do!,2500000
32,the ghost and the darkness,55000000
33,the long kiss goodnight,65000000
34,sleepers,44000000
35,set it off,9000000
36,ransom,70000000
37,the mirror has two faces,42000000
38,the english patient,35000000
39,space jam,80000000
40,jingle all the way,60000000
41,shine,5500000
42,daylight,80000000
43,mars attacks!,80000000
44,jerry maguire,50000000
45,beavis and butt-head do america,12000000
46,my fellow americans,21500000
47,scream,15000000
48,evita,55000000
49,the relic,60000000
50,dante's peak,115000000
51,absolute power,50000000
52,donnie brasco,35000000
53,liar liar,45000000
54,the saint,90000000
55,the fifth element,95000000
56,con air,80000000
57,batman & robin,125000000
58,my best friend's wedding,46000000
59,face/off,80000000
60,men in black,90000000
61,contact,90000000
62,air force one,85000000
63,air bud,3000000
64,conspiracy theory,80000000
65,the full monty,3500000
66,cop land,15000000
67,event horizon,60000000
68,money talks,25000000
69,the game,50000000
70,in & out,35000000
71,l.a. confidential,35000000
72,the peacemaker,50000000
73,boogie nights,15000000
74,seven years in tibet,70000000
75,eve's bayou,5000000
76,starship troopers,100000000
77,anastasia,53000000
78,the jackal,60000000
79,midnight in the garden of good and evil,35000000
80,the rainmaker,40000000
81,flubber,80000000
82,amistad,40000000
83,scream 2,24000000
84,the apostle,5000000
85,titanic,200000000
