Unnamed__0,imdb_rating,production_budget
0,7.1,20000000
1,5.8,65000000
2,6.1,40000000
3,6.9,10000000
4,8.3,7000000
5,5.9,15000000
6,6.0,88000000
7,6.2,57000000
8,4.8,45000000
9,7.2,75000000
10,5.8,47000000
11,5.9,100000000
12,6.5,100000000
13,5.6,55000000
14,3.9,50000000
15,6.5,75000000
16,6.3,32000000
17,6.6,46000000
18,5.7,45000000
19,8.2,3100000
20,7.1,40000000
21,6.7,25000000
22,5.3,25000000
23,5.2,55000000
24,5.3,50000000
25,5.3,45000000
26,6.1,45000000
27,5.6,55000000
28,4.1,40000000
29,5.6,30000000
30,5.9,38000000
31,6.7,2500000
32,6.6,55000000
33,6.6,65000000
34,7.3,44000000
35,6.3,9000000
36,6.6,70000000
37,6.0,42000000
38,7.3,35000000
39,5.6,80000000
40,4.9,60000000
41,7.6,5500000
42,5.4,80000000
43,6.3,80000000
44,7.2,50000000
45,6.6,12000000
46,6.3,21500000
47,2.9,15000000
48,6.1,55000000
49,5.4,60000000
50,5.6,115000000
51,6.5,50000000
52,7.7,35000000
53,6.7,45000000
54,5.9,90000000
55,7.4,95000000
56,6.6,80000000
57,3.5,125000000
58,6.2,46000000
59,7.3,80000000
60,7.0,90000000
61,7.3,90000000
62,6.3,85000000
63,4.6,3000000
64,6.5,80000000
65,7.2,3500000
66,6.9,15000000
67,6.3,60000000
68,5.7,25000000
69,7.7,50000000
70,6.1,35000000
71,8.4,35000000
72,5.8,50000000
73,7.9,15000000
74,6.7,70000000
75,7.0,5000000
76,7.1,100000000
77,6.6,53000000
78,6.0,60000000
79,6.5,35000000
80,6.9,40000000
81,4.6,80000000
82,7.1,40000000
83,5.9,24000000
84,7.1,5000000
85,7.4,200000000
86,6.4,110000000
87,7.8,50000000
88,7.6,12000000
89,5.5,80000000
90,7.0,15000000
91,5.9,30000000
92,5.6,73000000
93,8.2,15000000
94,6.7,65000000
95,4.8,80000000
96,5.8,60000000
97,6.4,55000000
98,6.8,25000000
99,6.0,80000000
100,6.8,30000000
101,6.3,60000000
102,4.8,125000000
103,5.3,30000000
104,8.0,60000000
105,4.7,80000000
106,7.1,48000000
107,6.1,140000000
108,6.4,140000000
109,5.9,40000000
110,7.2,22000000
111,6.7,65000000
112,8.5,65000000
113,7.2,50000000
114,5.8,73000000
115,7.0,45000000
116,7.3,12000000
117,6.7,20000000
118,6.9,30000000
119,6.8,35000000
120,7.2,55000000
121,6.8,60000000
122,5.3,53000000
123,5.3,25000000
124,5.5,60000000
125,6.8,20000000
126,7.6,25000000
127,5.7,23000000
128,6.9,85000000
129,7.3,45000000
130,7.2,85000000
131,6.1,80000000
132,4.5,20000000
133,7.6,17000000
134,7.8,10000000
135,7.4,26000000
136,6.8,60000000
137,6.2,65000000
138,7.5,52000000
139,6.4,60000000
140,6.3,15000000
141,6.3,50000000
142,6.2,50000000
143,6.0,16000000
144,6.4,35000000
145,4.5,60000000
146,6.3,40000000
147,6.6,30000000
148,6.7,11000000
149,5.8,10000000
150,6.0,60000000
151,8.7,65000000
152,5.3,75000000
153,7.4,8500000
154,6.1,66000000
155,6.8,80000000
156,6.7,14000000
157,6.2,55000000
158,6.9,145000000
159,6.1,60000000
160,4.7,30000000
161,4.3,175000000
162,6.5,22000000
163,6.9,12000000
164,6.1,24000000
165,7.2,65000000
166,5.3,27000000
167,4.6,80000000
168,5.6,60000000
169,5.2,70000000
170,7.9,50000000
171,8.2,40000000
172,6.7,48000000
173,6.4,55000000
174,6.3,125000000
175,6.0,32000000
176,8.6,15000000
177,5.9,36000000
178,6.2,50000000
179,6.0,40000000
180,7.3,48000000
181,5.1,8000000
182,4.8,64000000
183,8.8,65000000
184,5.6,50000000
185,6.8,32000000
186,6.1,9000000
187,7.9,13000000
188,5.2,19000000
189,6.3,48000000
190,8.0,68000000
191,5.9,23000000
192,7.3,10000000
193,6.3,135000000
194,7.5,70000000
195,8.0,90000000
196,5.4,100000000
197,8.4,60000000
198,6.5,75000000
199,6.4,90000000
200,8.0,37000000
201,5.8,105000000
202,7.4,52000000
203,6.6,60000000
204,7.2,40000000
205,7.4,38000000
206,5.3,9500000
207,6.9,7000000
208,5.3,40000000
209,4.5,50000000
210,7.0,23000000
211,7.5,35000000
212,5.1,90000000
213,7.2,50000000
214,6.8,23000000
215,5.9,25000000
216,7.6,20000000
217,6.4,95000000
218,5.3,15000000
219,6.2,60000000
220,5.8,43000000
221,6.7,15000000
222,6.4,62000000
223,3.3,58000000
224,8.3,103000000
225,6.4,16000000
226,6.6,55000000
227,4.7,33000000
228,5.9,53012938
229,6.4,75000000
230,7.3,42000000
231,6.9,51000000
232,6.9,110000000
233,6.2,120000000
234,6.0,19000000
235,5.9,65000000
236,7.4,75000000
237,6.5,90000000
238,5.5,90000000
239,6.3,65000000
240,4.8,40000000
241,4.8,40000000
242,6.2,50000000
243,6.2,3000000
244,5.5,40000000
245,5.9,10000000
246,6.4,24000000
247,8.0,60000000
248,7.4,6000000
249,7.5,30000000
250,7.0,55000000
251,7.7,5000000
252,5.9,48000000
253,6.8,40000000
254,5.5,90000000
255,6.4,60000000
256,5.8,82000000
257,5.7,123000000
258,4.4,85000000
259,7.3,73243106
260,6.1,65000000
261,5.6,75000000
262,7.3,25000000
263,7.4,100000000
264,6.3,65000000
265,7.2,43000000
266,7.5,85000000
267,6.6,60000000
268,6.1,45000000
269,7.3,80000000
270,7.8,48000000
271,4.8,28000000
272,6.4,87000000
273,5.0,30000000
274,5.9,40000000
275,7.4,85000000
276,5.2,33000000
277,5.8,23000000
278,5.7,35000000
279,6.1,28000000
280,7.4,30000000
281,5.4,16000000
282,4.6,25000000
283,4.2,72000000
284,6.2,98000000
285,8.0,50000000
286,5.4,151500000
287,4.6,22000000
288,5.9,80000000
289,6.3,80000000
290,6.0,38000000
291,6.1,16000000
292,4.7,45000000
293,6.3,25000000
294,6.2,18000000
295,6.8,68000000
296,5.5,100000000
297,5.9,30000000
298,6.4,90000000
299,5.7,57000000
300,6.4,48000000
301,6.8,22000000
302,4.4,40000000
303,4.1,21000000
304,6.4,28000000
305,6.6,28000000
306,7.6,45000000
307,6.5,75000000
308,6.8,35000000
309,6.2,47000000
310,7.3,48000000
311,5.3,53000000
312,7.4,115000000
313,5.6,49000000
314,3.2,35000000
315,6.0,40000000
316,6.9,90000000
317,7.5,1700000
318,7.6,110000000
319,7.6,28000000
320,6.9,70000000
321,8.0,78000000
322,5.3,38000000
323,6.8,72000000
324,6.6,109000000
325,7.3,18000000
326,7.2,4000000
327,7.7,95000000
328,4.9,32000000
329,7.6,40000000
330,7.1,11000000
331,5.2,15000000
332,6.6,36000000
333,5.8,60000000
334,5.4,17000000
335,5.3,14000000
336,7.4,65000000
337,6.4,35000000
338,5.3,85000000
339,5.0,26000000
340,6.9,48000000
341,6.1,42000000
342,6.6,5000000
343,5.9,50000000
344,5.3,60000000
345,7.4,139000000
346,6.6,50000000
347,7.4,27000000
348,6.5,38000000
349,6.3,46000000
350,6.3,68000000
351,5.7,25000000
352,5.3,70000000
353,7.7,60000000
354,4.7,84000000
355,5.8,115000000
356,7.7,102000000
357,4.4,30000000
358,6.5,90000000
359,5.6,120000000
360,6.2,63000000
361,6.9,70702619
362,6.3,50000000
363,5.5,70000000
364,6.2,12000000
365,5.8,38000000
366,7.3,78000000
367,6.6,21000000
368,5.5,48000000
369,5.3,70000000
370,6.7,41000000
371,7.2,100000000
372,6.0,142000000
373,5.6,60000000
374,4.6,55000000
375,7.3,30000000
376,7.4,97000000
377,5.7,52000000
378,7.2,30000000
379,7.6,25000000
380,5.1,19000000
381,6.4,26000000
382,6.1,50000000
383,6.2,50000000
384,5.5,80000000
385,7.0,24000000
386,5.4,25000000
387,5.4,20000000
388,6.4,75000000
389,5.8,55000000
390,5.3,68000000
391,6.3,50000000
392,5.1,35200000
393,5.3,85000000
394,5.7,36000000
395,7.2,11000000
396,5.7,25000000
397,6.1,56000000
398,7.1,20000000
399,7.3,28000000
400,5.5,60000000
401,7.1,127000000
402,6.6,81000000
403,8.2,94000000
404,6.9,60000000
405,5.1,76000000
406,5.2,75000000
407,5.7,137000000
408,7.6,15000000
409,5.5,78000000
410,6.2,130000000
411,7.4,86000000
412,6.5,26000000
413,5.8,25000000
414,7.5,26000000
415,6.2,29000000
416,7.9,4000000
417,6.7,22000000
418,4.9,50000000
419,8.0,30000000
420,8.2,55000000
421,6.4,60000000
422,5.4,45000000
423,6.5,110000000
424,6.8,32000000
425,7.5,135000000
426,7.3,18000000
427,7.4,65000000
428,4.6,18000000
429,7.8,120000000
430,8.1,70000000
431,6.8,80000000
432,5.9,55000000
433,6.1,65000000
434,5.6,40000000
435,7.3,80000000
436,6.1,60000000
437,7.1,100000000
438,6.8,75000000
439,7.1,25000000
440,4.8,50000000
441,6.6,78000000
442,6.2,60000000
443,6.5,40000000
444,7.4,28000000
445,8.5,20000000
446,6.2,35000000
447,6.2,35000000
448,6.8,60000000
449,6.0,56000000
450,7.7,60000000
451,7.0,18000000
452,5.5,170000000
453,7.0,150000000
454,7.5,70000000
455,5.7,50000000
456,6.3,125000000
457,7.7,130000000
458,6.9,400000
459,6.4,120000000
460,5.1,100000000
461,5.6,110000000
462,7.1,75000000
463,7.6,6000000
464,5.0,20000000
465,8.0,30000000
466,7.7,200000000
467,6.2,90000000
468,7.6,85000000
469,7.9,2500000
470,6.7,80000000
471,6.6,71682975
472,7.8,60000000
473,6.5,45000000
474,6.5,60000000
475,5.9,75000000
476,7.2,30000000
477,7.8,17000000
478,8.1,92000000
479,6.7,170000000
480,6.2,57000000
481,7.9,25000000
482,6.9,100000000
483,5.4,155000000
484,2.9,35000000
485,7.2,50000000
486,6.0,85000000
487,8.2,30000000
488,7.6,110000000
489,6.9,100000000
490,6.7,75000000
491,6.4,60000000
492,7.2,55000000
493,4.0,45000000
494,6.8,26000000
495,4.2,20000000
496,2.3,20000000
497,5.7,55000000
498,6.7,75000000
499,5.6,75000000
500,5.3,56000000
501,6.4,80000000
502,8.3,40000000
503,6.5,90000000
504,6.1,6500000
505,5.1,45000000
506,6.2,82000000
507,6.6,75000000
508,8.0,88000000
509,8.3,150000000
510,4.8,80000000
511,5.7,87500000
512,7.1,150000000
513,4.7,53000000
514,6.8,30000000
515,6.8,18000000
516,8.0,39000000
517,7.9,30000000
518,5.9,50000000
519,6.4,54000000
520,3.3,18000000
521,6.8,5000000
522,5.7,80000000
523,5.8,60000000
524,7.2,72000000
525,7.6,150000000
526,7.9,29000000
527,7.8,13900000
528,7.1,85000000
529,7.6,207000000
530,5.2,60000000
531,6.5,16000000
532,6.6,232000000
533,7.3,225000000
534,6.0,135000000
535,6.1,12000000
536,6.0,33000000
537,4.8,20000000
538,5.6,60000000
539,6.8,30000000
540,6.0,55000000
541,6.5,60000000
542,7.8,6000000
543,6.0,20000000
544,7.6,15000000
545,8.5,90000000
546,7.8,14000000
547,6.0,20000000
548,8.4,40000000
549,6.8,14000000
550,6.3,10000000
551,7.0,149000000
552,6.8,35000000
553,7.8,30000000
554,7.1,14000000
555,6.2,12000000
556,6.7,85000000
557,8.0,102000000
558,7.4,35000000
559,6.6,35000000
560,7.9,40000000
561,8.0,100000000
562,6.9,85000000
563,6.7,82500000
564,6.6,75000000
565,6.1,32000000
566,7.8,55000000
567,8.1,13000000
568,6.4,110000000
569,8.1,76000000
570,7.5,63700000
571,7.1,30000000
572,4.0,20000000
573,7.5,21000000
574,2.2,20000000
575,6.6,17000000
576,6.0,50000000
577,5.2,120000000
578,6.2,32000000
579,7.8,60000000
580,5.5,14000000
581,7.7,20000000
582,7.2,60000000
583,5.6,40000000
584,7.0,20000000
585,8.0,16000000
586,5.9,55000000
587,6.4,258000000
588,5.8,20000000
589,7.0,300000000
590,7.5,27500000
591,6.9,85000000
592,5.5,175000000
593,6.7,15000000
594,6.7,4000000
595,7.5,110000000
596,8.1,150000000
597,5.1,35000000
598,7.3,151000000
599,7.4,150000000
600,7.2,75000000
601,6.1,85000000
602,7.3,40000000
603,7.6,72500000
604,8.2,130000000
605,6.0,180000000
606,7.9,70000000
607,5.1,20000000
608,7.8,17500000
609,7.9,48000000
610,7.4,23000000
611,8.2,20000000
612,6.2,45000000
613,6.3,22000000
614,7.1,72500000
615,7.0,28000000
616,6.9,27500000
617,7.9,100000000
618,6.3,150000000
619,6.2,35000000
620,6.6,150000000
621,6.2,45000000
622,6.1,5000000
623,7.5,85000000
624,7.4,13000000
625,7.9,7000000
626,7.9,30000000
627,5.5,55000000
628,7.8,20000000
629,7.1,150000000
630,7.6,15000000
631,4.5,27500000
632,5.9,30000000
633,6.7,55000000
634,7.9,186000000
635,5.2,60000000
636,7.1,137500000
637,8.5,180000000
638,6.4,75000000
639,8.9,185000000
640,5.1,175000000
641,7.2,90000000
642,6.3,15000000
643,6.6,65000000
644,5.5,25000000
645,5.3,45000000
646,1.7,20000000
647,5.4,45000000
648,6.0,60000000
649,4.7,20000000
650,6.3,20000000
651,5.8,20000000
652,6.6,80000000
653,5.6,500000
654,7.8,2500000
655,4.5,20000000
656,6.8,10000000
657,6.9,12000000
658,7.2,67500000
659,6.4,38000000
660,7.0,24000000
661,8.3,14000000
662,6.1,37000000
663,7.9,29000000
664,7.7,33000000
665,8.2,6000000
666,6.1,60000000
667,7.0,50000000
668,8.0,160000000
669,7.3,75000000
670,5.3,26000000
671,6.1,60000000
672,6.4,50000000
673,5.4,20000000
674,6.8,175000000
675,7.3,60000000
676,3.4,25000000
677,7.1,30000000
678,8.4,175000000
679,7.3,21000000
680,7.9,35000000
681,5.3,100000000
682,5.4,55000000
683,5.4,40000000
684,5.0,60000000
685,6.0,210000000
686,7.4,27500000
687,7.3,250000000
688,8.3,30000000
689,8.4,70000000
690,6.8,29000000
691,7.2,100000000
692,6.7,15000
693,6.3,80000000
694,7.8,23600000
695,5.5,60000000
696,7.5,6400000
697,7.2,53000000
698,7.2,100000000
699,6.2,11000000
700,6.4,24000000
701,6.2,200000000
702,7.1,25000000
703,7.1,30000000
704,6.6,8300000
705,6.9,210000000
706,9.1,160000000
707,8.1,85000000
708,8.7,37000000
