Unnamed__0,title,imdb_rating
0,from dusk till dawn,7.1
1,broken arrow,5.8
2,city hall,6.1
3,happy gilmore,6.9
4,fargo,8.3
5,the craft,5.9
6,twister,6.0
7,dragonheart,6.2
8,the phantom,4.8
9,the rock,7.2
10,the cable guy,5.8
11,eraser,5.9
12,the hunchback of notre dame,6.5
13,the nutty professor,5.6
14,striptease,3.9
15,independence day,6.5
16,phenomenon,6.3
17,courage under fire,6.6
18,multiplicity,5.7
19,trainspotting,8.2
20,a time to kill,7.1
21,kingpin,6.7
22,the adventures of pinocchio,5.3
23,chain reaction,5.2
24,escape from l.a.,5.3
25,jack,5.3
26,tin cup,6.1
27,the fan,5.6
28,the island of dr. moreau,4.1
29,the first wives club,5.6
30,extreme measures,5.9
31,that thing you do!,6.7
32,the ghost and the darkness,6.6
33,the long kiss goodnight,6.6
34,sleepers,7.3
35,set it off,6.3
36,ransom,6.6
37,the mirror has two faces,6.0
38,the english patient,7.3
39,space jam,5.6
40,jingle all the way,4.9
41,shine,7.6
42,daylight,5.4
43,mars attacks!,6.3
44,jerry maguire,7.2
45,beavis and butt-head do america,6.6
46,my fellow americans,6.3
47,scream,2.9
48,evita,6.1
49,the relic,5.4
50,dante's peak,5.6
51,absolute power,6.5
52,donnie brasco,7.7
53,liar liar,6.7
54,the saint,5.9
55,the fifth element,7.4
56,con air,6.6
57,batman & robin,3.5
58,my best friend's wedding,6.2
59,face/off,7.3
60,men in black,7.0
61,contact,7.3
62,air force one,6.3
63,air bud,4.6
64,conspiracy theory,6.5
65,the full monty,7.2
66,cop land,6.9
67,event horizon,6.3
68,money talks,5.7
69,the game,7.7
70,in & out,6.1
71,l.a. confidential,8.4
72,the peacemaker,5.8
73,boogie nights,7.9
74,seven years in tibet,6.7
75,eve's bayou,7.0
76,starship troopers,7.1
77,anastasia,6.6
78,the jackal,6.0
79,midnight in the garden of good and evil,6.5
80,the rainmaker,6.9
81,flubber,4.6
82,amistad,7.1
83,scream 2,5.9
84,the apostle,7.1
85,titanic,7.4
86,tomorrow never dies,6.4
87,as good as it gets,7.8
88,jackie brown,7.6
89,the postman,5.5
90,wag the dog,7.0
91,the replacement killers,5.9
92,sphere,5.6
93,the big lebowski,8.2
94,primary colors,6.7
95,lost in space,4.8
96,mercury rising,5.8
97,city of angels,6.4
98,he got game,6.8
99,deep impact,6.0
100,bulworth,6.8
101,the horse whisperer,6.3
102,godzilla,4.8
103,hope floats,5.3
104,the truman,8.0
105,"six days, seven nights",4.7
106,out of sight,7.1
107,armageddon,6.1
108,lethal weapon 4,6.4
109,small soldiers,5.9
110,there's something about mary,7.2
111,the mask of zorro,6.7
112,saving private ryan,8.5
113,the negotiator,7.2
114,snake eyes,5.8
115,blade,7.0
116,rounders,7.3
117,simon birch,6.7
118,one true thing,6.9
