Unnamed__0,production_budget,rotten_tomatoes_rating
0,20000000,63
1,65000000,55
2,40000000,55
3,10000000,58
4,7000000,94
5,15000000,45
6,88000000,57
7,57000000,50
8,45000000,43
9,75000000,66
10,47000000,52
11,100000000,34
12,100000000,73
13,55000000,67
14,50000000,12
15,75000000,61
16,32000000,50
17,46000000,85
18,45000000,44
19,3100000,89
20,40000000,68
21,25000000,51
22,25000000,27
23,55000000,13
24,50000000,56
25,45000000,17
26,45000000,69
27,55000000,40
28,40000000,23
29,30000000,41
30,38000000,55
31,2500000,92
32,55000000,51
33,65000000,69
34,44000000,73
35,9000000,61
36,70000000,70
37,42000000,54
38,35000000,83
39,80000000,36
40,60000000,16
41,5500000,90
42,80000000,22
43,80000000,50
44,50000000,84
45,12000000,71
46,21500000,50
47,15000000,81
48,55000000,61
49,60000000,32
50,115000000,28
51,50000000,46
52,35000000,87
53,45000000,82
54,90000000,30
55,95000000,72
56,80000000,57
57,125000000,11
58,46000000,72
59,80000000,93
60,90000000,91
61,90000000,67
62,85000000,78
63,3000000,45
64,80000000,51
65,3500000,95
66,15000000,71
67,60000000,21
68,25000000,17
69,50000000,80
70,35000000,71
71,35000000,99
72,50000000,45
73,15000000,92
74,70000000,59
75,5000000,80
76,100000000,60
77,53000000,85
78,60000000,12
79,35000000,50
80,40000000,84
81,80000000,17
82,40000000,77
83,24000000,80
84,5000000,91
85,200000000,82
86,110000000,55
87,50000000,85
88,12000000,85
89,80000000,10
90,15000000,84
91,30000000,39
92,73000000,12
93,15000000,78
94,65000000,80
95,80000000,26
96,60000000,17
97,55000000,59
98,25000000,80
99,80000000,47
100,30000000,75
101,60000000,71
102,125000000,25
103,30000000,23
104,60000000,95
105,80000000,37
106,48000000,93
107,140000000,42
108,140000000,54
109,40000000,46
110,22000000,83
111,65000000,82
112,65000000,91
113,50000000,81
114,73000000,41
115,45000000,55
116,12000000,64
117,20000000,44
118,30000000,88
119,35000000,60
120,55000000,68
121,60000000,95
122,53000000,77
123,25000000,43
124,60000000,21
125,20000000,33
126,25000000,81
127,23000000,32
128,85000000,50
129,45000000,91
130,85000000,70
131,80000000,61
132,20000000,35
133,17000000,90
134,10000000,87
135,26000000,93
136,60000000,79
137,65000000,68
138,52000000,78
139,60000000,61
140,15000000,51
141,50000000,24
142,50000000,43
143,16000000,39
144,35000000,60
145,60000000,13
146,40000000,22
147,30000000,68
148,11000000,47
149,10000000,48
150,60000000,62
151,65000000,86
152,75000000,50
153,8500000,92
154,66000000,38
155,80000000,54
156,14000000,67
157,55000000,27
158,145000000,88
159,60000000,22
160,30000000,40
161,175000000,21
162,22000000,50
163,12000000,59
164,24000000,62
165,65000000,78
166,27000000,38
167,80000000,17
168,60000000,57
