Unnamed__0,nuclear_consumption,year,country
3195,,1954,bulgaria
19472,,2006,tonga
3678,,1927,canada
11582,,2006,maldives
7412,,1995,french polynesia
18007,0.0,1973,south america
21670,,2018,yemen
17530,,2016,seychelles
6168,,2018,equatorial guinea
7234,,1902,france
15832,,2011,panama
21284,,1988,vietnam
1905,,1925,bahrain
7990,,1922,greece
1789,,2012,austria
4977,,1943,cuba
12093,0.0,1984,middle east (ei)
19327,,1946,thailand
15195,,2001,opec - africa (eia)
12245,,1949,middle east (shift)
4342,,1959,china
8360,,1921,guatemala
19194,,1935,tanzania
14150,,2019,north america (ember)
18520,,1905,suriname
14961,,1969,opec (ei)
13752,6.503,1967,non-oecd (ei)
7530,,1945,gabon
6899,,1916,european union (27)
19180,,1921,tanzania
13895,,2010,non-opec (ei)
13320,,1922,new zealand
8322,,2005,guam
4223,,1963,chile
10544,,1991,laos
7976,,1908,greece
14717,,1903,oecd (shift)
12198,,1902,middle east (shift)
10129,,1960,japan
657,0.0,1969,algeria
18242,3.013,1974,south and central america (ei)
10272,,1980,kenya
8280,,2005,guadeloupe
8786,,2007,honduras
12080,0.0,1971,middle east (ei)
5020,,1986,cuba
19723,,2012,tunisia
19130,,1993,tajikistan
7391,,2016,french guiana
3302,,2018,burkina faso
19071,0.0,1965,taiwan
19048,,1942,taiwan
15746,1.154,1993,pakistan
1066,21.082,2006,argentina
21291,,1995,vietnam
4118,,1981,chad
1916,,1936,bahrain
3082,,1964,brunei
14507,,1939,norway
16938,505.127,2015,russia
8187,,1996,greenland
8646,,1910,high-income countries
13587,,1902,nigeria
7469,,2007,g7 (ember)
7928,,1982,gibraltar
10095,,1926,japan
9500,0.0,1988,iran
5616,,2002,dominican republic
2771,,1940,botswana
20329,237.45,2010,ukraine
17896,15.081,1985,south africa
10417,,1937,kuwait
8335,,2018,guam
11468,,1935,malaysia
3352,,1946,burundi
14306,,1935,north korea
12711,,1961,mozambique
9312,,1923,indonesia
6350,,2011,eswatini
14708,,2017,oecd (ember)
3710,,1959,canada
20887,,1960,upper-middle-income countries
13772,705.828,1987,non-oecd (ei)
7005,1522.534,2022,european union (27)
16522,0.0,1967,portugal
8424,,1985,guatemala
21066,,2015,vanuatu
2151,,1925,barbados
15638,,2007,other non-oecd - europe and eurasia (eia)
6016,,1952,egypt
12592,,1965,morocco
10676,,2020,lebanon
11550,,2017,malaysia
4761,,2005,costa rica
2816,,1985,botswana
2609,,1932,bolivia
4817,,1938,cote d'ivoire
11600,,1982,mali
14674,,2005,oecd (eia)
3617,,1988,cameroon
91,,1968,afghanistan
1432,,1937,asia and oceania (shift)
15227,,1991,opec - south america (eia)
13309,,1911,new zealand
8723,4310.505,1987,high-income countries
5818,0.0,2000,eastern africa (ei)
11801,,2014,mauritius
11213,0.0,2009,luxembourg
468,,1902,albania
15122,,1965,opec (shift)
8373,,1934,guatemala
9904,,1900,italy
17714,15.067,2010,slovenia
21384,,2003,wake island (shift)
12051,0.0,2000,middle africa (ei)
4291,,1908,china
12995,,1926,nepal
8728,5328.364,1992,high-income countries
849,,1996,angola
1297,,2005,asia & oceania (eia)
9024,,1980,ieo - middle east (eia)
4421,,1915,colombia
8282,,2007,guadeloupe
9465,,1953,iran
11103,,1957,lower-middle-income countries
17392,,2010,saudi arabia
7161,,2009,fiji
15193,,1999,opec - africa (eia)
16003,,1934,persian gulf (shift)
4006,,1906,central and south america (shift)
6646,1907.537,1984,europe
16380,,1948,poland
8139,,1948,greenland
14782,,1968,oecd (shift)
21124,,1951,venezuela
9497,0.0,1985,iran
104,,1981,afghanistan
5268,,1903,democratic republic of congo
18758,132.993,2021,sweden
3391,,1985,burundi
10835,,1973,libya
10785,,1923,libya
5141,34.76,1992,czechia
16931,439.759,2008,russia
1966,,1986,bahrain
1425,,1930,asia and oceania (shift)
20611,,1923,united states
10830,,1968,libya
19911,,1996,turks and caicos islands
2472,,2001,benin
17709,16.168,2005,slovenia
4941,,1907,cuba
15485,0.0,1981,oman
4840,,1961,cote d'ivoire
6721,3049.62,2001,europe (ei)
9844,,1963,israel
21755,,1980,yugoslavia
19444,,2020,togo
4321,,1938,china
521,,1955,albania
1101,,2010,armenia
3747,261.398,1996,canada
16144,,1958,peru
6536,,1991,eurasia (shift)
18963,,1980,syria
18768,,1908,switzerland
12610,,1983,morocco
19737,,1903,turkey
15682,,1929,pakistan
20911,473.134,1984,upper-middle-income countries
18794,,1934,switzerland
18648,,1911,sweden
2010,,1907,bangladesh
3868,,1990,central & south america (eia)
19126,79.235,2020,taiwan
4672,,2001,congo
5393,,1906,denmark
3209,0.0,1968,bulgaria
20050,,2009,u.s. territories (eia)
8752,5151.498,2016,high-income countries
1247,1362.207,1998,asia
9725,0.0,1967,ireland
12692,,1942,mozambique
20970,,2000,uruguay
10710,,2012,lesotho
2977,,1981,british virgin islands
21968,,1979,zimbabwe
15110,,1953,opec (shift)
6793,,1927,europe (shift)
1128,,2001,aruba
21764,,1989,yugoslavia
20454,,2012,united arab emirates
11751,,2006,mauritania
16462,,1907,portugal
21880,,2013,zambia
6705,1973.553,1985,europe (ei)
15197,,2003,opec - africa (eia)
18393,176.502,2002,spain
8997,,1995,ieo - africa (eia)
19038,,1932,taiwan
19266,,2007,tanzania
17690,38.655,2019,slovakia
6421,,1998,eurasia (eia)
674,0.0,1986,algeria
175,,1930,africa
11205,0.0,2001,luxembourg
21063,,2012,vanuatu
5570,,1998,dominica
18455,,2006,sri lanka
5521,,1991,djibouti
14602,1088.943,1976,oecd (ei)
18641,,1904,sweden
15577,,1988,other non-oecd - asia (eia)
9078,,1992,ieo oecd - europe (eia)
18617,,2002,suriname
15212,,2018,opec - africa (eia)
586,,2020,albania
10395,,1915,kuwait
15751,1.116,1998,pakistan
7200,55.363,1991,finland
15393,,2012,oceania (ember)
10787,,1925,libya
7482,,2020,g7 (ember)
21159,0.0,1986,venezuela
10812,,1950,libya
6527,,1982,eurasia (shift)
16455,,1900,portugal
14518,,1950,norway
21028,,2020,uzbekistan
15631,,2000,other non-oecd - europe and eurasia (eia)
519,,1953,albania
8415,,1976,guatemala
9462,,1950,iran
4685,,2014,congo
13758,47.357,1973,non-oecd (ei)
19864,0.0,1992,turkmenistan
14219,,1965,north america (shift)
13635,,1950,nigeria
8285,,2010,guadeloupe
11173,,1969,luxembourg
7750,14.009,1969,germany
10041,,1994,jamaica
4166,,1906,chile
913,,2017,antarctica
19895,,1980,turks and caicos islands
17580,0.0,1967,singapore
16322,,2013,philippines
4950,,1916,cuba
7319,753.417,1987,france
20347,,1905,united arab emirates
20342,,1900,united arab emirates
14655,,1986,oecd (eia)
2960,33.51,2007,brazil
8004,,1936,greece
2078,0.0,1975,bangladesh
4114,,2014,central and south america (shift)
4167,,1907,chile
19675,,1964,tunisia
2993,,1997,british virgin islands
17943,,1909,south america
4557,,2008,comoros
20351,,1909,united arab emirates
14298,,1927,north korea
19488,,1900,trinidad and tobago
18689,,1952,sweden
5505,,2018,denmark
9075,,1989,ieo oecd - europe (eia)
20618,,1930,united states
21255,,1959,vietnam
2393,130.858,2007,belgium
3344,,1938,burundi
10477,0.0,1997,kuwait
17265,,2005,sao tome and principe
18362,7.159,1971,spain
11608,,1990,mali
17311,,1929,saudi arabia
5465,0.0,1978,denmark
2128,,1902,barbados
7051,,1983,falkland islands
19778,,1944,turkey
19516,,1928,trinidad and tobago
16897,30.169,2012,romania
15504,,2000,oman
10969,,1946,low-income countries
6332,,1993,eswatini
12736,,1986,mozambique
10980,,1957,low-income countries
1930,,1950,bahrain
16720,,2000,qatar
10047,,2000,jamaica
16557,,2002,portugal
13198,11.397,2007,netherlands
5173,,1901,czechoslovakia
4880,,2001,cote d'ivoire
7182,0.0,1973,finland
5835,0.0,2017,eastern africa (ei)
13615,,1930,nigeria
13024,,1955,nepal
682,0.0,1994,algeria
18915,,1932,syria
11441,,1908,malaysia
16995,,1987,saint helena
714,,1983,american samoa
8468,,1987,guinea
2886,,1933,brazil
20946,1576.5,2019,upper-middle-income countries
11920,26.708,2011,mexico
96,,1973,afghanistan
13889,,2004,non-opec (ei)
4411,,1905,colombia
18590,,1975,suriname
14539,0.0,1971,norway
16047,,1978,persian gulf (shift)
5904,,1963,ecuador
17836,,1925,south africa
20259,,1935,ukraine
3537,,1908,cameroon
20075,,1914,ussr
15966,,2019,persian gulf (eia)
7789,401.18,2008,germany
3071,,1953,brunei
3462,299.064,1998,cis (ei)
14232,,1978,north america (shift)
1508,,2013,asia and oceania (shift)
18940,,1957,syria
14389,,2018,north korea
18032,30.412,1998,south america
9909,,1905,italy
6645,1495.808,1983,europe
20879,,1952,upper-middle-income countries
5867,,1926,ecuador
17632,,2019,singapore
182,,1937,africa
12449,,2005,mongolia
2052,,1949,bangladesh
20553,180.057,1988,united kingdom
10123,,1954,japan
6914,,1931,european union (27)
13736,,2008,niue
6544,,1999,eurasia (shift)
7351,1009.287,2019,france
11971,,2019,"mexico, chile, and other oecd americas (eia)"
11121,7.812,1975,lower-middle-income countries
20485,,1920,united kingdom
10222,,2010,jordan
8531,,2008,guinea-bissau
1554,,1942,australia
17543,,1987,sierra leone
17373,0.0,1991,saudi arabia
16137,,1951,peru
17396,,2014,saudi arabia
7418,,2001,french polynesia
8337,,2020,guam
4826,,1947,cote d'ivoire
19529,,1941,trinidad and tobago
12362,,1918,mongolia
18458,,2009,sri lanka
3632,,2003,cameroon
14777,,1963,oecd (shift)
8870,,1911,hungary
21525,,1916,world
4702,,1988,cook islands
6157,,2007,equatorial guinea
4597,,1926,congo
9239,5.543,1973,india
11957,,2005,"mexico, chile, and other oecd americas (eia)"
11896,0.0,1987,mexico
14022,182.024,1972,north america
19317,,1936,thailand
15064,,1907,opec (shift)
1634,,2022,australia
21541,,1932,world
12072,,2021,middle africa (ei)
4446,,1940,colombia
7403,,1986,french polynesia
21716,,1941,yugoslavia
21562,,1953,world
10029,,1982,jamaica
150,,1905,africa
3659,,1908,canada
19814,0.0,1980,turkey
3051,,1933,brunei
12596,,1969,morocco
7546,,1961,gabon
17304,,1922,saudi arabia
21817,,1950,zambia
7568,,1983,gabon
15544,,1997,other non-oecd - america (eia)
17426,,2001,senegal
12300,,2004,middle east (shift)
20415,0.0,1973,united arab emirates
18184,,1984,south korea and other oecd asia (eia)
7696,,1915,germany
15012,,2020,opec (ei)
11442,,1909,malaysia
6222,0.0,2006,estonia
20549,153.166,1984,united kingdom
15459,,1955,oman
18013,7.639,1979,south america
21950,,1961,zimbabwe
15836,,2015,panama
15840,,2019,panama
6074,,2010,egypt
18866,75.429,2006,switzerland
6755,,2012,europe (ember)
17019,,2011,saint helena
20216,,2014,uganda
21357,,2018,wake island (eia)
2514,,2001,bermuda
15100,,1943,opec (shift)
16469,,1914,portugal
5404,,1917,denmark
9016,,2014,ieo - africa (eia)
230,15.081,1985,africa
13728,,2000,niue
18341,,1950,spain
13035,,1966,nepal
9448,,1936,iran
19025,,1919,taiwan
12054,,2003,middle africa (ei)
6230,0.0,2014,estonia
13250,,2016,netherlands antilles
19590,,2002,trinidad and tobago
4203,,1943,chile
10613,,2000,latvia
3920,,2000,central african republic
21137,,1964,venezuela
10391,,1911,kuwait
15231,,1995,opec - south america (eia)
11945,,1993,"mexico, chile, and other oecd americas (eia)"
2824,,1993,botswana
3675,,1924,canada
16890,15.264,2005,romania
8598,,1991,haiti
8823,0.0,1987,hong kong
3271,,1987,burkina faso
729,,1998,american samoa
12597,,1970,morocco
6296,,1957,eswatini
8315,,1998,guam
8193,,2002,greenland
8689,,1953,high-income countries
14668,,1999,oecd (eia)
18718,106.915,1981,sweden
11988,,1994,micronesia (country)
7491,,1906,gabon
21472,,1985,western sahara
818,,1965,angola
1660,,2005,australia and new zealand (eia)
20765,,1997,united states territories (shift)
15528,,1981,other non-oecd - america (eia)
17582,0.0,1969,singapore
20438,0.0,1996,united arab emirates
520,,1954,albania
12564,,1937,morocco
16337,,1905,poland
18287,62.151,2019,south and central america (ei)
16888,13.653,2003,romania
9987,16.409,1983,italy
2233,,2007,barbados
21760,,1985,yugoslavia
17025,,2017,saint helena
524,,1958,albania
18212,,2012,south korea and other oecd asia (eia)
2740,,1909,botswana
2083,0.0,1980,bangladesh
5980,,1916,egypt
4423,,1917,colombia
7494,,1909,gabon
14542,0.0,1974,norway
14203,,1949,north america (shift)
11645,,1985,malta
18383,158.282,1992,spain
9673,,1915,ireland
17224,,2006,samoa
9726,0.0,1968,ireland
17828,,1917,south africa
16809,,1924,romania
2802,,1971,botswana
8463,,1982,guinea
2560,,2005,bhutan
16847,,1962,romania
21869,,2002,zambia
6834,,1968,europe (shift)
21180,,2007,venezuela
4089,,1989,central and south america (shift)
21210,,1914,vietnam
19148,,2011,tajikistan
20254,,1930,ukraine
17269,,2009,sao tome and principe
19131,,1994,tajikistan
12661,,1911,mozambique
20372,,1930,united arab emirates
1385,899.919,2013,asia pacific (ei)
15356,0.0,1998,oceania
4833,,1954,cote d'ivoire
5765,,2004,east timor
11913,25.423,2004,mexico
13858,,1973,non-opec (ei)
2627,,1950,bolivia
3430,5.856,1966,cis (ei)
1793,,2016,austria
603,,1915,algeria
10866,,2004,libya
10443,,1963,kuwait
4635,,1964,congo
20758,,1990,united states territories (shift)
18729,180.307,1992,sweden
18601,,1986,suriname
3563,,1934,cameroon
4302,,1919,china
12398,,1954,mongolia
897,,2001,antarctica
19250,,1991,tanzania
6681,2880.352,2019,europe
6359,,2020,eswatini
18889,,1906,syria
395,,1946,africa (shift)
1645,,1990,australia and new zealand (eia)
14903,,2010,oecd - europe (eia)
15931,,1984,persian gulf (eia)
3357,,1951,burundi
21851,,1984,zambia
12011,,2017,micronesia (country)
13894,,2009,non-opec (ei)
12903,,1998,namibia
20086,,1925,ussr
14537,0.0,1969,norway
15461,,1957,oman
8961,39.081,2002,hungary
9091,,2005,ieo oecd - europe (eia)
3075,,1957,brunei
13952,,1902,north america
16775,,2012,reunion
3654,,1903,canada
21678,,1903,yugoslavia
12003,,2009,micronesia (country)
20305,121.188,1986,ukraine
19907,,1992,turks and caicos islands
16751,,1988,reunion
12927,,1980,nauru
978,,1918,argentina
7698,,1917,germany
15409,,1905,oman
16939,505.078,2016,russia
16571,,2016,portugal
13237,,2003,netherlands antilles
19216,,1957,tanzania
21415,,1971,western africa (ei)
18369,21.704,1978,spain
8394,,1955,guatemala
19779,,1945,turkey
20404,,1962,united arab emirates
11672,,2012,malta
15954,,2007,persian gulf (eia)
16274,0.0,1965,philippines
7079,,2011,falkland islands
3575,,1946,cameroon
8735,6384.965,1999,high-income countries
19531,,1943,trinidad and tobago
1448,,1953,asia and oceania (shift)
14152,,2021,north america (ember)
2563,,2008,bhutan
13982,,1932,north america
925,,1987,antigua and barbuda
5834,0.0,2016,eastern africa (ei)
5222,,1950,czechoslovakia
