Unnamed__0,nuclear_consumption,country
15575,,other non-oecd - asia (eia)
15026,,opec (eia)
7454,,g20 (ember)
20696,2288.376,united states
3193,,bulgaria
11628,,mali
4627,,congo
6313,,eswatini
12599,,morocco
20583,165.186,united kingdom
19301,,thailand
4837,,cote d'ivoire
18892,,syria
6283,,eswatini
2179,,barbados
15220,,opec - south america (eia)
16550,0.0,portugal
10133,,japan
15743,1.191,pakistan
20382,,united arab emirates
17805,,somalia
15789,,palestine
10960,,low-income countries
15309,,oceania
1673,,australia and new zealand (eia)
5475,0.0,denmark
10666,,lebanon
59,,afghanistan
16878,0.0,romania
20935,785.802,upper-middle-income countries
6302,,eswatini
3975,0.0,central america (ei)
8206,,greenland
1613,,australia
15643,,other non-oecd - europe and eurasia (eia)
12332,,moldova
16743,,reunion
21756,,yugoslavia
7170,,fiji
7292,,france
18009,7.142,south america
18924,,syria
10222,,jordan
10927,,low-income countries
13488,,niger
13300,,new zealand
4623,,congo
18124,0.0,south korea
15565,,other non-oecd - america (eia)
17259,,sao tome and principe
5910,0.0,ecuador
8565,,guyana
19381,,thailand
13128,,netherlands
1110,,armenia
7023,,european union (eia)
16213,,philippines
9829,,israel
21944,,zimbabwe
17827,,south africa
18643,,sweden
9236,3.712,india
7147,,fiji
18560,,suriname
20877,,upper-middle-income countries
14884,,oecd - europe (eia)
11486,,malaysia
21274,,vietnam
3478,476.312,cis (ei)
20227,,ukraine
20481,,united kingdom
20754,,united states territories (shift)
20882,,upper-middle-income countries
4632,,congo
19660,,tunisia
19690,,tunisia
13220,,netherlands antilles
21746,,yugoslavia
4325,,china
20743,,united states pacific islands (shift)
4154,,chad
8737,6595.72,high-income countries
8682,,high-income countries
3054,,brunei
5553,,dominica
4754,,costa rica
18384,159.071,spain
6504,,eurasia (shift)
5818,0.0,eastern africa (ei)
12316,,moldova
5874,,ecuador
8533,,guinea-bissau
5840,0.0,eastern africa (ei)
21108,,venezuela
1631,,australia
3017,,british virgin islands
20207,,uganda
1796,,austria
2820,,botswana
15182,,opec - africa (eia)
16067,,persian gulf (shift)
1776,0.0,austria
20245,,ukraine
19005,,syria
16309,,philippines
21495,,western sahara
7506,,gabon
15359,,oceania
5276,,democratic republic of congo
15545,,other non-oecd - america (eia)
15813,,panama
11482,,malaysia
17233,,samoa
5059,0.0,cyprus
17166,,saint vincent and the grenadines
9728,0.0,ireland
16985,,rwanda
2407,126.367,belgium
1015,,argentina
16,,asean (ember)
16881,3.933,romania
9522,,iran
687,0.0,algeria
14968,,opec (ei)
16568,,portugal
16046,,persian gulf (shift)
14876,,oecd - europe (eia)
15008,,opec (ei)
21008,,uzbekistan
11427,,malawi
21856,,zambia
5822,,eastern africa (ei)
14759,,oecd (shift)
13385,0.0,new zealand
14091,1015.103,north america (ei)
10308,,kenya
9103,,ieo oecd - europe (eia)
321,29.4,africa (ei)
16200,,peru
9286,112.433,india
10146,89.833,japan
21979,,zimbabwe
1955,,bahrain
14069,2437.632,north america
8072,0.0,greece
1672,,australia and new zealand (eia)
11680,,malta
15058,,opec (shift)
3254,37.061,bulgaria
19068,,taiwan
7935,,gibraltar
18229,,south sudan
6065,,egypt
7678,,georgia
8580,,guyana
651,,algeria
16394,,poland
16084,,persian gulf (shift)
12435,,mongolia
20511,,united kingdom
7231,63.148,finland
579,,albania
12904,,namibia
18283,56.265,south and central america (ei)
21243,,vietnam
11795,,mauritius
11042,,low-income countries
12110,,middle east (ei)
17093,,saint lucia
9118,0.0,iceland
10819,,libya
20864,,upper-middle-income countries
19543,,trinidad and tobago
4742,,costa rica
7761,157.735,germany
5316,,democratic republic of congo
21968,,zimbabwe
10315,,kiribati
6039,0.0,egypt
17033,,saint kitts and nevis
12965,,nauru
9254,17.243,india
4732,,cook islands
11880,0.0,mexico
16638,,qatar
14138,,north america (ember)
20919,436.095,upper-middle-income countries
155,,africa
31,,afghanistan
10125,,japan
20205,,uganda
17799,,somalia
183,,africa
20211,,uganda
4740,,costa rica
250,31.029,africa
12595,,morocco
19095,80.234,taiwan
13398,,new zealand
16147,,peru
13817,,non-oecd (eia)
2208,,barbados
14318,,north korea
20067,,ussr
10870,,libya
12509,,montserrat
1136,,aruba
18182,,south korea and other oecd asia (eia)
2246,,barbados
1892,,bahrain
6775,,europe (shift)
20192,,uganda
17824,,south africa
2095,0.0,bangladesh
15803,,panama
18419,,sri lanka
5688,,eu28 (shift)
13127,,netherlands
20465,,united kingdom
19515,,trinidad and tobago
20646,,united states
2893,,brazil
18000,0.0,south america
14894,,oecd - europe (eia)
14840,,oecd - asia and oceania (eia)
21990,,zimbabwe
10559,,laos
21616,7450.836,world
18380,159.258,spain
4430,,colombia
21963,,zimbabwe
18557,,suriname
10010,0.0,italy
13111,,netherlands
3241,51.58,bulgaria
10719,,lesotho
17963,,south america
13258,,new caledonia
11862,,mexico
19609,,trinidad and tobago
1009,,argentina
15805,,panama
8384,,guatemala
