Unnamed__0,coal_production,country
7607,,gabon
336,,africa (ember)
13396,22.067,new zealand
2346,167.372,belgium
15362,2426.881,oceania
6743,,europe (ember)
10221,0.0,jordan
5876,,ecuador
5486,0.0,denmark
7380,0.0,french guiana
9138,0.0,iceland
12988,0.0,nepal
11403,0.38,malawi
13984,2936.159,north america
1092,0.0,armenia
17332,,saudi arabia
17270,0.0,sao tome and principe
5340,0.782,democratic republic of congo
14564,1.891,norway
100,1.384,afghanistan
1234,7457.205,asia
8026,1.904,greece
6184,0.0,eritrea
8938,90.793,hungary
2752,0.0,botswana
7536,,gabon
21401,,west germany (eia)
9587,,iraq
14285,1.49,north korea
7237,290.173,france
7262,444.447,france
19600,0.0,trinidad and tobago
11065,164.563,lower-middle-income countries
15712,4.12,pakistan
12138,,middle east (eia)
786,,angola
4397,21680.762,china
913,,antarctica
14786,9297.49,oecd (shift)
2553,0.243,bhutan
21450,,western africa (ei)
5418,0.0,denmark
6637,8870.225,europe
11466,1.807,malaysia
7378,0.0,french guiana
10708,0.0,lesotho
6167,,equatorial guinea
13091,2.605,netherlands
4845,,cote d'ivoire
20375,,united arab emirates
3059,,brunei
3035,,brunei
12387,0.0,mongolia
14427,0.0,northern mariana islands
8397,,guatemala
11688,0.0,martinique
16018,1.384,persian gulf (shift)
6985,2255.827,european union (27)
18571,,suriname
3494,0.0,cambodia
9090,,ieo oecd - europe (eia)
1185,745.647,asia
4837,,cote d'ivoire
4475,27.004,colombia
2373,26.543,belgium
3925,0.0,central african republic
21344,,wake island (eia)
11266,,macao
2786,0.0,botswana
21496,0.0,western sahara
6579,4008.366,europe
17735,0.0,solomon islands
2146,,barbados
3780,0.0,cape verde
10311,,kenya
2207,0.0,barbados
7007,,european union (eia)
1461,3327.403,asia and oceania (shift)
16649,,qatar
8842,0.0,hong kong
21726,41.401,yugoslavia
15402,,oceania (ember)
13287,0.0,new caledonia
1181,520.321,asia
12231,0.0,middle east (shift)
2271,0.0,belarus
9268,1873.271,india
10465,0.0,kuwait
686,0.06,algeria
9048,,ieo - middle east (eia)
4205,16.688,chile
10605,0.0,latvia
3955,,central america (ei)
15293,91.188,oceania
13626,3.037,nigeria
18175,6.601,south korea
1015,0.933,argentina
7284,460.447,france
20932,18952.803,upper-middle-income countries
19300,0.0,thailand
14475,0.017,norway
19978,,tuvalu
10995,254.193,low-income countries
12968,,nauru
12729,0.961,mozambique
8702,9538.547,high-income countries
18889,,syria
2736,0.0,botswana
799,,angola
13253,,netherlands antilles
4833,,cote d'ivoire
7821,,ghana
16109,2.06,peru
1555,107.898,australia
9440,0.0,iran
5342,1.042,democratic republic of congo
18761,,switzerland
16347,283.569,poland
12553,0.0,morocco
11944,,"mexico, chile, and other oecd americas (eia)"
16237,0.148,philippines
2261,0.0,belarus
8413,,guatemala
5082,0.0,cyprus
16413,1197.824,poland
10580,,latin america and caribbean (ember)
15346,1189.638,oceania
13483,0.0,niger
6456,179.787,eurasia (shift)
907,,antarctica
19551,,trinidad and tobago
12489,0.0,montserrat
11297,0.0,madagascar
17121,0.0,saint pierre and miquelon
20208,0.0,uganda
17247,0.0,sao tome and principe
19903,0.0,turks and caicos islands
11639,,mali
6992,1817.247,european union (27)
5097,0.0,cyprus
3917,0.0,central african republic
7837,,ghana
7652,0.937,georgia
11955,,"mexico, chile, and other oecd americas (eia)"
6439,,eurasia (eia)
22007,25.105,zimbabwe
15767,17.675,pakistan
1266,27939.596,asia
4999,,cuba
6473,227.15,eurasia (shift)
14856,,oecd - asia and oceania (eia)
20335,211.78,ukraine
15320,215.178,oceania
11012,190.898,low-income countries
18588,,suriname
20677,5947.048,united states
19174,0.0,tanzania
5836,,eastern africa (ei)
195,207.599,africa
15155,74.346,opec (shift)
273,,africa (ei)
10326,0.0,kiribati
10678,0.0,lesotho
528,1.225,albania
4088,169.406,central and south america (shift)
4378,7912.65,china
3915,0.0,central african republic
19861,,turkmenistan
3579,,cameroon
15079,1.18,opec (shift)
1241,9375.166,asia
6221,0.0,estonia
1382,27775.967,asia pacific (ei)
6531,3738.672,eurasia (shift)
20807,0.0,united states virgin islands
175,94.156,africa
21027,13.426,uzbekistan
6381,0.0,ethiopia
17158,0.0,saint vincent and the grenadines
20522,1555.66,united kingdom
14316,0.0,north korea
17302,,saudi arabia
14214,3067.132,north america (shift)
14492,2.197,norway
9880,0.0,israel
17079,0.0,saint lucia
8654,8421.479,high-income countries
20280,,ukraine
5463,0.0,denmark
8829,0.0,hong kong
20100,904.333,ussr
8042,22.513,greece
5000,,cuba
15179,,opec - africa (eia)
8390,,guatemala
11301,0.0,madagascar
21114,0.049,venezuela
6880,2047.13,europe (shift)
2185,,barbados
19,,asean (ember)
2057,,bangladesh
4288,7.051,china
21877,0.0,zambia
3886,,central & south america (eia)
17477,83.798,serbia
13540,0.0,niger
5855,,ecuador
15769,21.419,pakistan
12040,,middle africa (ei)
1303,,asia & oceania (eia)
358,44.221,africa (shift)
16426,1047.209,poland
5143,326.842,czechia
18174,8.169,south korea
6414,,eurasia (eia)
16399,875.322,poland
12779,0.0,myanmar
10792,,libya
13951,2041.5,north america
10599,,latvia
13218,0.0,netherlands antilles
6753,,europe (ember)
16594,0.0,puerto rico
8504,0.0,guinea-bissau
7097,0.0,faroe islands
21806,0.0,zambia
8142,0.041,greenland
7211,0.0,finland
17486,,serbia and montenegro
7278,394.313,france
2522,0.0,bermuda
17178,0.0,saint vincent and the grenadines
1109,,armenia
10033,0.0,jamaica
19391,57.568,thailand
6859,3441.157,europe (shift)
10779,,libya
