Unnamed__0,country,energy_cons_change_twh
21919,zimbabwe,
14992,opec (ei),
456,africa (shift),
16322,philippines,25.798
11552,malaysia,31.2
6961,european union (27),627.939
5226,czechoslovakia,
5676,eu28 (shift),
15260,oceania,
18361,spain,38.552
15361,oceania,11.896
6566,europe,
6931,european union (27),
10112,japan,
13453,nicaragua,0.219
21343,wake island (eia),0.0
2121,bangladesh,26.961
11574,maldives,0.125
11655,malta,-0.301
7438,french polynesia,0.136
1388,asia pacific (ei),936.445
5162,czechia,-9.217
12554,morocco,
937,antigua and barbuda,0.0
9353,indonesia,
4616,congo,
16502,portugal,
10478,kuwait,35.932
11962,"mexico, chile, and other oecd americas (eia)",-23.059
9232,india,18.962
8964,hungary,19.15
9404,indonesia,28.829
3246,bulgaria,18.201
1898,bahrain,
6537,eurasia (shift),
7838,ghana,
4926,croatia,-4.989
16581,puerto rico,1.311
14315,north korea,
2589,bolivia,
708,algeria,-45.45
5839,eastern africa (ei),50.16
5101,cyprus,-0.948
1578,australia,20.341
12039,middle africa (ei),4.364
12048,middle africa (ei),-0.398
20103,ussr,
18061,south korea,
3783,cape verde,0.062
5744,eu28 (shift),
18655,sweden,
4356,china,168.056
16959,rwanda,-0.305
15069,opec (shift),
11590,maldives,2.24
19014,taiwan,
9351,indonesia,
3006,british virgin islands,0.021
2944,brazil,50.603
5278,democratic republic of congo,
13917,non-opec (eia),1531.023
1843,bahamas,-1.288
820,angola,
8125,greenland,
7447,g20 (ember),
12153,middle east (eia),211.415
12054,middle africa (ei),7.346
7815,ghana,
11853,mexico,
13100,netherlands,
10924,low-income countries,
7484,g7 (ember),
9020,ieo - africa (eia),97.152
20543,united kingdom,14.244
4651,congo,
9826,israel,
16214,philippines,
10527,kyrgyzstan,1.354
5666,eu28 (shift),
12124,middle east (ei),296.377
18338,spain,
16402,poland,51.855
17492,serbia and montenegro,7.667
18894,syria,
17613,singapore,28.688
1703,austria,
12924,namibia,-0.634
3055,brunei,
7391,french guiana,0.0
18906,syria,
15086,opec (shift),
7889,ghana,2.412
19473,tonga,-0.084
6332,eswatini,-0.012
18583,suriname,
10995,low-income countries,
173,africa,
14306,north korea,
14222,north america (shift),
14579,norway,7.107
11393,malawi,-0.202
12381,mongolia,
6923,european union (27),
14092,north america (ei),1199.195
1980,bahrain,6.157
9227,india,
420,africa (shift),
18949,syria,
11488,malaysia,
8691,high-income countries,
8504,guinea-bissau,-0.001
4627,congo,
603,algeria,
13275,new caledonia,0.157
10121,japan,
13827,non-oecd (eia),1112.324
6969,european union (27),242.229
4630,congo,
6296,eswatini,
10577,latin america and caribbean (ember),
5358,democratic republic of congo,-1.216
21218,vietnam,
6678,europe,393.559
11743,mauritania,0.055
18731,sweden,0.082
11983,micronesia (country),0.0
350,africa (shift),
12751,mozambique,8.254
12876,myanmar,2.826
572,albania,-2.046
20631,united states,
9429,iran,
12968,nauru,0.01
6473,eurasia (shift),
14478,norway,
6603,europe,
3327,burundi,
11668,malta,0.822
7978,greece,
9357,indonesia,5.528
20293,ukraine,
16808,romania,
15786,palestine,0.382
10570,laos,1.794
528,albania,
11242,macao,0.19
18973,syria,22.412
15670,pakistan,
11457,malaysia,
17228,samoa,-0.003
20137,ussr,440.901
4636,congo,
2862,brazil,
13130,netherlands,
2330,belgium,
12467,montenegro,
14881,oecd - europe (eia),198.723
16928,russia,-10.186
6024,egypt,
4990,cuba,
4558,comoros,0.107
16501,portugal,
5505,denmark,-2.521
19379,thailand,-57.682
21742,yugoslavia,
6682,europe,-1874.48
2678,bolivia,-6.287
20285,ukraine,
10751,liberia,0.382
8340,guatemala,
19180,tanzania,
20707,united states,-190.211
16533,portugal,6.315
3758,canada,143.895
21994,zimbabwe,1.666
16190,peru,9.724
19959,tuvalu,0.0
21766,yugoslavia,-90.102
17710,slovenia,0.767
18433,sri lanka,1.542
2982,british virgin islands,-0.049
5188,czechoslovakia,
11734,mauritania,0.581
14624,oecd (ei),210.5
4592,congo,
2450,belize,0.121
4367,china,387.446
221,africa,104.356
1556,australia,
7684,germany,
3633,cameroon,1.061
16632,qatar,
8464,guinea,0.081
14572,norway,8.902
7033,european union (eia),-210.225
13111,netherlands,
1686,austria,
10726,liberia,-1.627
12678,mozambique,
17037,saint kitts and nevis,0.0
19035,taiwan,
3028,brunei,
17773,somalia,0.198
1258,asia,1256.137
8736,high-income countries,1275.656
21843,zambia,
8667,high-income countries,
21273,vietnam,2.758
16040,persian gulf (shift),
19644,tunisia,
4833,cote d'ivoire,
1169,asia,
10208,jordan,4.194
18328,spain,
20624,united states,
15738,pakistan,10.574
17681,slovakia,13.182
10500,kuwait,-22.81
5802,eastern africa (ei),-4.003
5416,denmark,
3679,canada,
6800,europe (shift),
12548,morocco,
2579,bolivia,
5042,cuba,14.657
9338,indonesia,
7599,gabon,0.901
20421,united arab emirates,10.06
455,africa (shift),
9006,ieo - africa (eia),127.44
3685,canada,
16489,portugal,
11472,malaysia,
14919,oecd - north america (eia),1245.896
6003,egypt,
10755,liberia,0.018
16924,russia,114.177
16551,portugal,7.583
10027,jamaica,
13748,niue,-0.002
6357,eswatini,0.363
13339,new zealand,
778,angola,
21069,vanuatu,0.222
297,africa (ei),89.318
5870,ecuador,
6669,europe,-258.047
21436,western africa (ei),20.986
6665,europe,537.611
10358,kosovo,
13101,netherlands,
17436,senegal,1.278
18190,south korea and other oecd asia (eia),132.669
6633,europe,849.273
6572,europe,
16229,philippines,
14704,oecd (ember),
5175,czechoslovakia,
17913,south africa,-30.411
4678,congo,1.97
14550,norway,-4.694
6829,europe (shift),
8982,ieo - africa (eia),
15754,pakistan,11.396
14333,north korea,
12809,myanmar,
6547,eurasia (shift),
18759,sweden,2.211
476,albania,
10445,kuwait,
8168,greenland,
4072,central and south america (shift),
14188,north america (shift),
7508,gabon,
13949,non-opec (eia),7616.531
13662,nigeria,
10818,libya,
11992,micronesia (country),0.0
17890,south africa,19.091
9974,italy,132.091
15761,pakistan,3.588
7788,germany,-168.959
1679,austria,
7606,gabon,-0.43
15951,persian gulf (eia),376.292
18856,switzerland,-11.704
7944,gibraltar,
5061,cyprus,0.415
13983,north america,
10662,lebanon,-4.567
3680,canada,
21759,yugoslavia,99.845
19825,turkey,11.722
14632,oecd (ei),132.086
18631,suriname,0.413
59,afghanistan,
21122,venezuela,
19130,tajikistan,-6.321
16694,qatar,-2.309
13737,niue,-0.013
20971,uruguay,4.567
7895,ghana,1.142
5203,czechoslovakia,
2721,bosnia and herzegovina,1.119
2127,barbados,
13812,non-oecd (eia),2129.719
7545,gabon,
3568,cameroon,
12698,mozambique,
15685,pakistan,
17295,saudi arabia,
586,albania,-1.307
4786,cote d'ivoire,
15508,oman,-9.786
8857,hong kong,-14.847
12281,middle east (shift),
18007,south america,158.963
17212,samoa,0.0
2033,bangladesh,
17459,serbia,
12823,myanmar,
591,algeria,
7320,france,33.551
21825,zambia,
646,algeria,
14526,norway,
16239,philippines,
19984,u.s. pacific islands (eia),-0.012
5057,cyprus,0.658
9002,ieo - africa (eia),141.061
11886,mexico,34.823
17979,south america,
10426,kuwait,
19638,tunisia,
7714,germany,
10023,italy,-34.085
14717,oecd (shift),
12719,mozambique,
14931,oecd - north america (eia),1032.721
3737,canada,27.649
1003,argentina,
18379,spain,43.424
14024,north america,-379.33
4200,chile,
5942,ecuador,1.354
15655,pakistan,
14391,north korea,1.506
11320,madagascar,
2869,brazil,
67,afghanistan,
14015,north america,
18727,sweden,11.485
17080,saint lucia,0.159
12792,myanmar,
4873,cote d'ivoire,0.664
15773,pakistan,-5.299
4380,china,73.685
19414,togo,-0.099
4022,central and south america (shift),
12544,morocco,
3711,canada,
