Unnamed__0,population,country,year
3691,11453308.0,canada,1940
6942,352917917.0,european union (27),1959
14288,6472018.0,north korea,1917
15160,,opec (shift),2003
8008,7310983.0,greece,1940
11273,2619388.0,madagascar,1904
8004,6963989.0,greece,1936
7914,25574722.0,ghana,2010
9636,25425666.0,iraq,2001
13309,1059319.0,new zealand,1911
2056,42329284.0,bangladesh,1953
15639,,other non-oecd - europe and eurasia (eia),2008
2960,190779456.0,brazil,2007
9839,1754789.0,israel,1958
16504,8346329.0,portugal,1949
12026,,middle africa (ei),1975
11462,3982894.0,malaysia,1929
16308,76249064.0,philippines,1999
1591,14520529.0,australia,1979
14428,22668.0,northern mariana islands,1982
12720,8411678.0,mozambique,1970
10761,5193422.0,liberia,2021
2495,54362.0,bermuda,1982
7351,64399760.0,france,2019
19054,6589183.0,taiwan,1948
19517,414604.0,trinidad and tobago,1929
18016,252673448.0,south america,1982
1979,692138.0,bahrain,1999
1005,15474655.0,argentina,1945
11869,36268048.0,mexico,1960
2714,4058086.0,bosnia and herzegovina,2006
20648,176188576.0,united states,1960
129,25442946.0,afghanistan,2006
8065,10875274.0,greece,1997
11279,2543231.0,madagascar,1910
3638,19319276.0,cameroon,2009
5845,1538243.0,ecuador,1904
5101,1129693.0,cyprus,2010
7677,3770814.0,georgia,2019
14415,2099486.0,north macedonia,2012
8222,99238.0,grenada,1989
1975,612941.0,bahrain,1995
8560,751702.0,guyana,1995
5519,521114.0,djibouti,1989
8647,493681645.0,high-income countries,1911
17444,16000783.0,senegal,2019
10821,1379414.0,libya,1959
10721,1989695.0,liberia,1981
7231,5540745.0,finland,2022
962,5036658.0,argentina,1902
7856,5373388.0,ghana,1952
21124,5732110.0,venezuela,1951
18306,20535137.0,spain,1915
5310,11291347.0,democratic republic of congo,1945
12006,108248.0,micronesia (country),2012
15824,3181620.0,panama,2003
16548,9992104.0,portugal,1993
8569,760428.0,guyana,2004
18918,2849902.0,syria,1935
4592,532626.0,congo,1921
97,11869881.0,afghanistan,1974
21458,,western africa (ei),2014
10279,20882096.0,kenya,1987
14393,2044181.0,north macedonia,1990
3024,20638.0,brunei,1906
1595,15383079.0,australia,1983
5156,10337831.0,czechia,2007
251,951740562.0,africa,2006
18456,20078652.0,sri lanka,2007
6993,439891841.0,european union (27),2010
4339,616283008.0,china,1956
14997,,opec (ei),2005
562,3271336.0,albania,1996
594,5186463.0,algeria,1906
16746,577054.0,reunion,1983
11201,418413.0,luxembourg,1997
749,48445.0,american samoa,2018
12860,38868272.0,myanmar,1988
4680,4257234.0,congo,2009
7154,849897.0,fiji,2002
18171,50558044.0,south korea,2014
10502,4268886.0,kuwait,2022
16903,19606778.0,romania,2018
15447,444817.0,oman,1943
2967,203459648.0,brazil,2014
11330,5206249.0,madagascar,1961
3832,34216.0,cayman islands,1996
255,1055233717.0,africa,2010
5093,982202.0,cyprus,2002
