Unnamed__0,median_income
0,6.5116
1,2.5275
2,1.9318
3,2.4464
4,2.0288
5,2.502
6,5.3749
7,5.5418
8,2.2393
9,2.098
10,7.8013
11,4.4688
12,6.1287
13,5.7115
14,3.125
15,4.4615
16,6.0
17,5.7979
18,3.8583
19,2.5804
20,6.0857
21,3.7583
22,3.6667
23,1.8238
24,2.4122
25,10.6605
26,2.8417
27,4.05
28,2.4659
29,1.4833
30,1.8
31,6.0516
32,4.2
33,6.1092
34,4.5032
35,10.7937
36,3.3977
37,2.125
38,3.197
39,3.0652
40,1.5553
41,4.3125
42,2.8365
43,3.4312
44,2.5625
45,3.9583
46,4.2857
47,2.7039
48,5.2549
49,6.4265
50,3.1389
51,3.6563
52,4.5461
53,4.555
54,0.9218
55,1.9375
56,3.9803
57,4.6364
58,3.0125
59,6.3699
60,2.2146
61,4.1387
62,4.6563
63,2.7634
64,1.9338
65,2.7042
66,5.3015
67,2.4183
68,3.9833
69,9.821
70,3.6033
71,1.6528
72,2.6023
73,4.665
74,4.3269
75,4.4821
76,4.1632
77,3.9792
78,5.1806
79,1.6509
80,3.6292
81,6.1103
82,3.6161
83,3.864
84,3.0651
85,5.6674
86,6.1359
87,4.2061
88,2.1382
89,4.6458
90,1.2254
91,3.725
92,1.1122
93,3.9583
94,6.213
95,7.7932
96,2.5588
97,4.1856
98,2.9762
99,3.2011
100,6.7669
101,5.2333
102,2.6036
103,1.8333
104,3.6201
105,3.6946
106,2.5521
107,4.5
108,2.59
109,5.7089
110,2.8036
111,7.642
112,4.3939
113,3.0526
114,2.2661
115,2.2244
116,3.5556
117,4.2099
118,9.6023
119,4.821
120,4.8906
121,2.7432
122,1.7765
123,13.947
124,4.3542
125,5.2838
126,4.6065
127,2.375
128,3.0021
129,3.8355
130,3.7065
131,8.3337
132,2.3105
133,2.9097
134,3.0613
135,1.7708
136,4.8494
137,3.1923
138,6.9931
139,2.881
140,2.455
141,6.0487
142,2.8777
143,2.2165
144,4.2798
145,3.8906
146,4.0125
147,4.8052
148,3.2941
149,3.5671
150,5.2449
151,5.3446
152,2.5446
153,5.22
154,4.2468
155,4.3393
156,2.151
157,5.7794
158,5.8491
159,2.1667
160,2.6964
161,4.125
162,4.5687
163,4.0
164,2.4032
165,3.7292
166,3.1856
167,4.3194
168,2.25
169,2.5417
170,5.1952
171,2.0307
172,5.1149
173,5.2563
174,1.1681
175,2.1
176,3.6548
177,4.0283
178,2.5985
179,3.2292
180,3.4375
181,10.3599
182,2.5938
183,3.8854
184,5.4042
185,3.183
186,3.4676
187,5.6336
188,2.8553
189,2.5374
190,9.6885
191,3.9265
192,4.0893
193,4.3333
194,2.8971
195,2.4688
196,6.2957
197,2.1771
198,1.9309
199,2.5119
200,4.4474
201,4.6
202,2.1875
203,2.3566
204,5.5048
205,1.6267
206,2.1083
207,4.0071
208,4.575
209,1.5114
210,1.7011
211,4.2917
212,3.691
213,2.5729
214,3.4107
215,3.3205
216,4.9528
217,2.564
218,2.4482
219,3.5851
220,3.48
221,2.5833
222,3.2933
223,1.7361
224,2.5398
225,8.1586
226,6.7836
227,2.925
228,2.5547
229,2.3333
230,10.0791
231,3.6811
232,15.0001
233,5.3478
234,3.2132
235,1.7257
236,4.2891
237,3.8261
238,1.7772
239,4.0
240,1.4913
241,1.125
242,2.7697
243,2.4286
244,1.4091
245,3.4839
246,6.9909
247,3.125
248,1.7417
249,6.1085
250,1.8362
251,4.744
252,6.0705
253,1.2276
254,2.303
255,3.8333
256,1.9063
257,2.4605
258,5.34
259,3.3003
260,2.964
261,2.5509
262,2.3068
263,5.2362
264,4.1995
265,2.9133
266,4.3458
267,3.428
268,2.725
269,4.1083
270,4.5673
271,2.4348
272,5.01
273,5.0029
274,7.5112
275,2.6618
276,6.3406
277,4.875
278,3.1553
279,8.1325
280,4.8155
281,6.7694
282,3.915
283,3.875
284,6.2984
285,4.5221
286,2.1354
287,6.5483
288,9.3845
289,4.6172
290,3.3625
291,3.3839
292,5.777
293,2.2833
294,2.0325
295,2.2261
296,2.0625
297,3.707
298,2.7368
299,3.1972
300,3.425
301,1.4427
302,1.5163
303,5.184
304,5.7512
305,3.2833
306,6.204
307,5.5469
308,5.3509
309,3.1964
310,4.2222
311,3.9227
312,3.5469
313,6.5475
314,4.7804
315,3.6923
316,4.4038
317,11.7045
318,3.962
319,1.9194
320,5.1778
321,3.4551
322,2.7656
323,3.0682
324,3.6563
325,2.7344
326,3.9464
327,2.1903
328,2.3305
329,2.369
330,1.6007
331,2.2791
332,4.2703
333,6.5533
334,2.1176
335,3.0859
336,4.0873
337,5.0
338,1.4886
339,2.3783
340,5.8596
341,3.0714
342,2.6397
343,6.6447
344,2.892
345,2.2156
346,3.7222
347,4.5313
348,7.7042
349,2.5865
350,5.3016
351,5.0767
352,4.2155
353,1.9107
354,2.4674
355,2.1061
356,3.1111
357,4.4286
358,4.3646
359,2.75
360,7.6717
361,1.6424
362,12.6417
363,3.8068
364,4.4904
365,5.1805
366,3.6181
367,3.6693
368,3.9118
369,1.468
370,3.6875
371,6.3298
372,1.875
373,4.0583
374,3.705
375,3.8958
376,3.525
377,1.4318
378,3.625
379,3.929
380,3.3269
381,5.1641
382,2.5556
383,10.3224
384,5.6168
385,3.6597
386,3.6393
387,3.7426
388,1.6563
389,2.6797
390,2.218
391,4.0921
392,2.6434
393,4.0039
394,1.75
395,5.0863
396,12.9758
397,4.4015
398,4.5568
399,3.2048
400,4.6417
401,4.5972
402,1.9181
403,6.8787
404,4.1523
405,2.9201
406,2.0246
407,3.067
408,3.7721
409,2.6875
410,3.1551
411,6.3566
412,4.2829
413,1.5313
414,2.7311
415,1.9038
416,4.425
417,3.2875
418,3.1851
419,4.0875
420,3.3287
421,5.25
422,2.3281
423,3.8839
424,0.9463
425,5.0234
426,9.3959
427,3.7932
428,2.0242
429,4.0473
430,4.5903
431,3.5385
432,8.847
433,3.8621
434,2.2206
