Unnamed__0,production_budget,release_year,content_rating
0,20000000,1996,r
1,65000000,1996,r
2,40000000,1996,r
3,10000000,1996,pg-13
4,7000000,1996,r
5,15000000,1996,r
6,88000000,1996,pg-13
7,57000000,1996,pg-13
8,45000000,1996,pg
9,75000000,1996,r
10,47000000,1996,pg-13
11,100000000,1996,r
12,100000000,1996,g
13,55000000,1996,pg-13
14,50000000,1996,r
15,75000000,1996,pg-13
16,32000000,1996,pg
17,46000000,1996,r
18,45000000,1996,pg-13
19,3100000,1996,r
20,40000000,1996,r
21,25000000,1996,r
22,25000000,1996,g
23,55000000,1996,pg-13
24,50000000,1996,r
25,45000000,1996,pg-13
26,45000000,1996,r
27,55000000,1996,r
28,40000000,1996,pg-13
29,30000000,1996,pg
30,38000000,1996,r
31,2500000,1996,pg
32,55000000,1996,r
33,65000000,1996,r
34,44000000,1996,r
35,9000000,1996,r
36,70000000,1996,r
37,42000000,1996,pg-13
38,35000000,1996,r
39,80000000,1996,pg
40,60000000,1996,pg
41,5500000,1996,pg-13
42,80000000,1996,pg-13
43,80000000,1996,pg-13
44,50000000,1996,r
45,12000000,1996,pg-13
46,21500000,1996,pg-13
47,15000000,1996,r
48,55000000,1996,pg
49,60000000,1997,r
50,115000000,1997,pg-13
51,50000000,1997,r
52,35000000,1997,r
53,45000000,1997,pg-13
54,90000000,1997,pg-13
55,95000000,1997,pg-13
56,80000000,1997,r
57,125000000,1997,pg-13
58,46000000,1997,pg-13
59,80000000,1997,r
60,90000000,1997,pg-13
61,90000000,1997,pg
62,85000000,1997,r
63,3000000,1997,pg
64,80000000,1997,r
65,3500000,1997,r
66,15000000,1997,r
67,60000000,1997,r
68,25000000,1997,r
69,50000000,1997,r
70,35000000,1997,pg-13
71,35000000,1997,r
72,50000000,1997,r
73,15000000,1997,r
74,70000000,1997,pg-13
75,5000000,1997,r
76,100000000,1997,r
77,53000000,1997,g
78,60000000,1997,r
79,35000000,1997,r
80,40000000,1997,pg-13
81,80000000,1997,pg
82,40000000,1997,r
83,24000000,1997,r
84,5000000,1997,pg-13
85,200000000,1997,pg-13
86,110000000,1997,pg-13
87,50000000,1997,pg-13
88,12000000,1997,r
89,80000000,1997,r
90,15000000,1997,r
91,30000000,1998,r
92,73000000,1998,pg-13
93,15000000,1998,r
94,65000000,1998,r
95,80000000,1998,pg-13
96,60000000,1998,r
97,55000000,1998,pg-13
98,25000000,1998,r
99,80000000,1998,pg-13
100,30000000,1998,r
101,60000000,1998,pg-13
102,125000000,1998,pg-13
103,30000000,1998,pg-13
104,60000000,1998,pg
105,80000000,1998,pg-13
106,48000000,1998,r
107,140000000,1998,pg-13
108,140000000,1998,r
109,40000000,1998,pg-13
110,22000000,1998,r
111,65000000,1998,pg-13
112,65000000,1998,r
113,50000000,1998,r
114,73000000,1998,r
115,45000000,1998,r
116,12000000,1998,r
117,20000000,1998,pg
118,30000000,1998,r
119,35000000,1998,pg-13
120,55000000,1998,r
121,60000000,1998,pg
122,53000000,1998,r
123,25000000,1998,r
124,60000000,1998,pg-13
125,20000000,1998,r
126,25000000,1998,r
127,23000000,1998,pg-13
128,85000000,1998,pg-13
129,45000000,1998,g
130,85000000,1998,r
131,80000000,1998,g
132,20000000,1998,r
133,17000000,1998,r
134,10000000,1998,r
135,26000000,1998,r
136,60000000,1998,pg
137,65000000,1998,pg
138,52000000,1998,r
139,60000000,1998,pg-13
140,15000000,1998,r
141,50000000,1998,pg-13
142,50000000,1998,pg-13
143,16000000,1999,r
144,35000000,1999,pg-13
145,60000000,1999,pg
146,40000000,1999,r
147,30000000,1999,r
148,11000000,1999,r
149,10000000,1999,r
150,60000000,1999,pg-13
151,65000000,1999,r
152,75000000,1999,r
153,8500000,1999,r
154,66000000,1999,pg-13
155,80000000,1999,pg-13
156,14000000,1999,pg
157,55000000,1999,r
158,145000000,1999,g
159,60000000,1999,r
160,30000000,1999,pg-13
161,175000000,1999,pg-13
162,22000000,1999,r
163,12000000,1999,r
164,24000000,1999,g
165,65000000,1999,r
166,27000000,1999,r
167,80000000,1999,pg-13
168,60000000,1999,r
169,70000000,1999,pg
170,50000000,1999,pg
171,40000000,1999,pg-13
172,48000000,1999,r
173,55000000,1999,pg-13
174,125000000,1999,r
175,32000000,1999,r
176,15000000,1999,r
177,36000000,1999,pg-13
178,50000000,1999,pg-13
179,40000000,1999,r
180,48000000,1999,r
181,8000000,1999,pg-13
182,64000000,1999,r
183,65000000,1999,r
184,50000000,1999,r
185,32000000,1999,r
186,9000000,1999,r
187,13000000,1999,r
188,19000000,1999,r
189,48000000,1999,r
190,68000000,1999,r
191,23000000,1999,pg-13
192,10000000,1999,r
193,135000000,1999,pg-13
194,70000000,1999,r
195,90000000,1999,g
196,100000000,1999,r
197,60000000,1999,r
198,75000000,1999,pg-13
199,90000000,1999,pg
200,37000000,1999,r
201,105000000,1999,pg
202,52000000,1999,r
203,60000000,1999,r
204,40000000,1999,r
205,38000000,1999,r
206,9500000,2000,r
207,7000000,2000,pg
208,40000000,2000,r
209,50000000,2000,r
210,23000000,2000,r
211,35000000,2000,r
212,90000000,2000,pg
213,50000000,2000,r
214,23000000,2000,r
215,25000000,2000,r
216,20000000,2000,r
217,95000000,2000,pg
218,15000000,2000,pg-13
219,60000000,2000,r
220,43000000,2000,pg-13
221,15000000,2000,pg-13
222,62000000,2000,pg-13
223,58000000,2000,pg
224,103000000,2000,r
225,16000000,2000,r
226,55000000,2000,pg-13
227,33000000,2000,pg-13
228,53012938,2000,r
229,75000000,2000,pg
230,42000000,2000,g
231,51000000,2000,r
232,110000000,2000,r
233,120000000,2000,pg-13
234,19000000,2000,r
235,65000000,2000,pg
236,75000000,2000,pg-13
237,90000000,2000,pg-13
238,90000000,2000,r
239,65000000,2000,pg-13
240,40000000,2000,pg-13
241,40000000,2000,r
242,50000000,2000,pg-13
243,3000000,2000,r
244,40000000,2000,r
245,10000000,2000,pg-13
246,24000000,2000,r
247,60000000,2000,r
248,6000000,2000,pg-13
249,30000000,2000,pg
250,55000000,2000,pg-13
251,5000000,2000,pg-13
252,48000000,2000,pg-13
253,40000000,2000,pg-13
254,90000000,2000,pg-13
255,60000000,2000,pg-13
256,82000000,2000,pg-13
257,123000000,2000,pg
258,85000000,2000,g
259,73243106,2000,pg-13
260,65000000,2000,r
261,75000000,2000,pg-13
262,25000000,2000,pg-13
263,100000000,2000,g
264,65000000,2000,pg-13
265,43000000,2000,pg-13
266,85000000,2000,pg-13
267,60000000,2000,pg-13
268,45000000,2000,pg-13
269,80000000,2000,pg-13
270,48000000,2000,r
271,28000000,2001,pg-13
272,87000000,2001,r
273,30000000,2001,pg-13
274,40000000,2001,r
275,85000000,2001,r
276,33000000,2001,r
277,23000000,2001,pg-13
278,35000000,2001,pg
279,28000000,2001,r
280,30000000,2001,r
281,16000000,2001,pg-13
282,25000000,2001,pg
283,72000000,2001,pg-13
284,98000000,2001,pg-13
285,50000000,2001,pg
286,151500000,2001,pg-13
287,22000000,2001,pg-13
288,80000000,2001,pg-13
289,80000000,2001,r
290,38000000,2001,pg-13
291,16000000,2001,r
292,45000000,2001,r
293,25000000,2001,r
294,18000000,2001,pg-13
295,68000000,2001,r
296,100000000,2001,pg-13
297,30000000,2001,g
298,90000000,2001,pg-13
299,57000000,2001,r
300,48000000,2001,pg-13
301,22000000,2001,r
302,40000000,2001,pg-13
303,21000000,2001,pg-13
304,28000000,2001,pg-13
305,28000000,2001,pg-13
306,45000000,2001,r
307,75000000,2001,pg-13
308,35000000,2001,r
309,47000000,2001,pg-13
310,48000000,2001,pg-13
311,53000000,2001,pg-13
312,115000000,2001,g
313,49000000,2001,pg-13
314,35000000,2001,r
315,40000000,2001,pg-13
316,90000000,2001,r
317,1700000,2001,r
318,110000000,2001,pg-13
319,28000000,2001,r
320,70000000,2001,r
321,78000000,2001,pg-13
322,38000000,2001,pg
323,72000000,2001,pg
324,109000000,2001,r
325,18000000,2001,r
326,4000000,2001,r
327,95000000,2001,r
328,32000000,2002,pg
329,40000000,2002,pg-13
330,11000000,2002,pg
331,15000000,2002,pg
332,36000000,2002,pg-13
333,60000000,2002,pg-13
334,17000000,2002,r
335,14000000,2002,r
336,65000000,2002,pg
337,35000000,2002,r
338,85000000,2002,pg-13
339,26000000,2002,pg
340,48000000,2002,r
341,42000000,2002,pg-13
342,5000000,2002,pg
343,50000000,2002,r
344,60000000,2002,pg-13
345,139000000,2002,pg-13
346,50000000,2002,r
347,27000000,2002,pg-13
348,38000000,2002,pg-13
349,46000000,2002,r
350,68000000,2002,pg-13
351,25000000,2002,pg-13
352,70000000,2002,pg-13
353,60000000,2002,pg-13
354,84000000,2002,pg
355,115000000,2002,r
