Month,Type,Temperature
Jan,Average high,17.3
Jan,Average low,7.9
Feb,Average high,19.5
Feb,Average low,9.4
Mar,Average high,22.6
Mar,Average low,12.5
Apr,Average high,25.9
Apr,Average low,17.6
May,Average high,27.2
May,Average low,19.2
Jun,Average high,29.3
Jun,Average low,21.6
Jul,Average high,31.8
Jul,Average low,23.8
Aug,Average high,31.4
Aug,Average low,22.5
Sep,Average high,28.9
Sep,Average low,20.7
Oct,Average high,25.5
Oct,Average low,16.5
Nov,Average high,21.7
Nov,Average low,14.1
Dec,Average high,19.2
Dec,Average low,8.5
