chart_id,id,question,explanation,LLM_answer,LLM_explanation,,
line_simple_2jromeq5u9lloh1s,2jromeq5u9lloh1s,Which years has the biggest jump?,"1. get the difference between every year
2. get the extremum ",2014,"1. Calculate the difference in Audience_Millions between each consecutive year (e.g., 2010 minus 2009, 2011 minus 2010, etc.). 
2. Compare these differences to identify the largest increase. 
3. Since the difference between 2014 (58.2) and 2013 (48.5) is 9.7, which is larger than any other year-over-year change, 2014 represents the year with the biggest jump.",,
bar_stacked_13guplcbmfu1tjzu,13guplcbmfu1tjzu,which country has the highest european factor?,"1. get the sum of germany and italy for each country
2. get the country with the highest value",Hungary,"1. First, identify the factors that represent European countries, which are ""Germany – exports"" and ""Italy – exports"". 
2. Sum the values for these two factors for each country: Czechia (0.003 + 0.064 = 0.067), Hungary (0.004 + 0.069 = 0.073), Romania (0.002 + 0.038 = 0.040), and Poland (0.001 + 0.038 = 0.039). 
3. Comparing these totals, Hungary has the highest combined value for the European factors.",,
bar_grouped_0q8vqyb35mbq0efx,0q8vqyb35mbq0efx,which year had the lowest amount of suicides of all ages combined?,"1. sum of all of the age rages for every year
2. find the extremum (lowest)",2015,"1. For each year, sum the number of suicides across all age groups (0–19, 20–39, 40–64, and 65+). 
2. Compare these yearly totals to identify the year with the minimum value. 
3. Calculating these sums reveals that 2015 had the lowest combined total of suicides.",,
bar_simple_0o12tngadmjjux2n,0o12tngadmjjux2n,How many years is above the average?,"1. Find average
2. filter which countries are above the average",9,"1. First, calculate the average of the ""Production in million units"" values for all years. 
2. Then, compare the production value of each year to that average. 
3. Finally, count how many of those years have a production value greater than the calculated average.",Compare를 할 때 뭘 반환하라는지 애매함,DiffByValue
bar_stacked_10t8o5vhethzeod1,10t8o5vhethzeod1,In which year was the agriculture sector the highest?,"1. get the all values from the agriculture sector
2. find the maximum value",2011,"1. Extract all Share_of_GDP values associated with the ""Agriculture"" sector for each year. 
2. Compare these values to identify the maximum share. 
3. Select the year corresponding to that maximum value.",,
line_simple_2o3fyauxv32p571i,2o3fyauxv32p571i,which year had the second lowest value?,"1. sort
2. find the second lowest",2014 and 2015,"1. Identify all Operating_Profit_Margin values in the dataset (0.15, 0.14, 0.14, 0.07, 0.16, 0.16). 
2. Sort these values in ascending order (0.07, 0.14, 0.14, 0.15, 0.16, 0.16). 
3. Identify the lowest value (0.07) and the second lowest value (0.14). 
4. Locate the years corresponding to the second lowest value, which are 2014 and 2015.","4번 같은 연산은 해당하는 필드값 자체를 가져올 수 있는 연산이 있는가?
집중하는 게 x축인지 y축인지 구별할 수 있도록 되어있는가?",
bar_stacked_11e148qcs7x70t8v,11e148qcs7x70t8v,in which years does south korea have a bigger value than france?,"1. difference between south korea and france in every year
2. filter the year with positive value","2016, 2017, 2018, and Jan-Oct 2019","1. Filter the data to compare the 'Share_of_Import_Value' for South Korea and France for each year. 
2. Identify the years where the value for South Korea is strictly greater than the value for France.",,
bar_simple_0s6zi9dyw22qo4rp,0s6zi9dyw22qo4rp,compare the average of september 1896 until december 1896 to the average of january 1897 until april 1897.,"1. calculate the average of sep 1896 until dec 1896
2. calculate the average of jan 1897 until april 1897
3. compare the two averages",0.613125 and 0.687375,"1. Identify the fatality rates for September 1896 through December 1896 and calculate their average. 
2. Identify the fatality rates for January 1897 through April 1897 and calculate their average. 
3. Compare these two calculated averages.",,
line_simple_2ebtadc07b7bo277,2ebtadc07b7bo277,Which year had the second lowest value?,"1. sort the values from lowest to highest
2. find the second lowest ",2016,"1. List all the average price values for each year. 
2. Sort the values in ascending order to identify the lowest values. 
3. The lowest value is 3.32 (2010), and the second lowest value is 3.74, which corresponds to the year 2016.",,
bar_grouped_0prhtod4tli879nh,0prhtod4tli879nh,which city had the biggest jump in population from 2010 to 2025?,"1. get the difference of every city in every year
2. find the extremum",Dhaka,"1. Calculate the difference in population between 2025 and 2010 for each city by subtracting the 2010 value from the 2025 value. 
2. Compare the calculated growth values for all cities. 
3. Identify the city with the largest increase.",,
line_simple_2jki13q54zizc6i4,2jki13q54zizc6i4,"If you compare the average value from july 2008 until june 2012 and july 2013 until june 2017, which value is higher?","1. get the average from july 2008 until june 2012
2. get the average from july 2013 until june 2017
3. compare 
4. find extremum",July 2013 - June 2017,"1. Calculate the average number of trucks for the period from July 2008 to June 2012 by summing the values for those years and dividing by the count. 
2. Calculate the average number of trucks for the period from July 2013 to June 2017 similarly. 
3. Compare the two calculated averages to determine which is higher.",,
bar_simple_0pzdf7hfbxgjghsa,0pzdf7hfbxgjghsa,How big was the change from 2016 to 2017 compared to the change from 2017 to 2018?,"1. retrieve value of 2016 and 2017
2. retrieve value of 2017 and 2018
3. get the difference","The change from 2016 to 2017 was 1.39 billion heads, which is larger than the change from 2017 to 2018 of 0.22 billion heads.","1. Calculate the difference in production between 2016 and 2017. 
2. Calculate the difference in production between 2017 and 2018. 
3. Compare the two resulting values to determine the magnitude of change for each period.",,
bar_grouped_0rfuaawgi58ajpsv,0rfuaawgi58ajpsv,what is the difference of the average between northern america and latin america?,"1. get the average northern america
2. get the average of latin america
3. get the difference between the two average values",8.526 billion U.S. dollars,"1. First, calculate the average media rights revenue for North America by summing its values from 2009 to 2013 and dividing by the number of years. 
2. Second, calculate the average media rights revenue for Latin America by summing its values from 2009 to 2013 and dividing by the number of years. 
3. Finally, calculate the difference between the two resulting average values.",,
bar_grouped_0rdpculfpyw3bv5p,0rdpculfpyw3bv5p,which year shows the lowest gap between lending and investment?,"1. get the difference between lending and investment in every year
2. find the year with the smallest value",2011,"1. Calculate the absolute difference between the ""Lending"" value and the ""Investment"" value for each year (2011, 2012, 2013, and 2014). 
2. Compare these differences to identify the smallest value among them. 
3. Select the year corresponding to that smallest difference.","해당하는 y축 값은 모르고, 그 값에 해당하는 Year값을 구하는 법",
bar_stacked_10x2rgiqw97wdspi,10x2rgiqw97wdspi,which season was above average in both commercial and broadcasting?,"1. find average of commercial
2. find average of broadcasting
3. find the season that is above average of both commercial and broadcasting","2016/17, 2017/18, 2018/19, and 2019/20","1. Calculate the average revenue for the Broadcasting category across all seasons and the average for the Commercial category across all seasons. 
2. For each season, check if the Broadcasting revenue is higher than its respective average and if the Commercial revenue is higher than its respective average. 
3. Identify the seasons that satisfy both conditions simultaneously.",3번,
bar_simple_0qz3v0bszsex7jjm,0qz3v0bszsex7jjm,Which fiscal years' expenditures are below average?,"1. determine average
2. compare each year's value with the average
3. filter to countries who are below average","00/01, 01/02, 02/03, 03/04, 04/05, 05/06, 06/07, 07/08, 08/09, 09/10, 10/11, 11/12, 12/13","1. Calculate the average expenditure across all fiscal years by summing all values and dividing by the total count of years. 
2. Identify all fiscal years with an expenditure value lower than this calculated average. 
3. List the fiscal years that meet this condition.",,
line_multiple_23wg8zio5ahp40tg,23wg8zio5ahp40tg,Which year had the biggest gap between favor and oppose?,"1. calculate difference between the values of favor and oppose
2. find extremum",1996,"1. Calculate the difference (gap) between the ""Oppose"" and ""Favor"" percentages for each year. 
2. Compare these differences across all years. 
3. Identify the year that corresponds to the largest calculated difference.",,
line_multiple_28bxxhd6omv2l2h1,28bxxhd6omv2l2h1,What is the difference between the maximum and minimum gap between the two groups?,"1. calculate the difference for each value
2. find the maximum value",1.6,"1. Calculate the difference (gap) in life expectancy between Canada and Newfoundland and Labrador for each year. 
2. Identify the maximum gap value and the minimum gap value among these results. 
3. Subtract the minimum gap from the maximum gap to determine the final difference.",,
line_multiple_29rxoltwhongoday,29rxoltwhongoday,"In 2002 and 2017, which year shows the highest gap?","1. calculate the difference in 2002 and 2017
2. find the year which has the bigger difference",2017,"1. Calculate the difference between the 'Dissatisfied' and 'Satisfied' percentages for the year 2002. 
2. Calculate the difference between the 'Dissatisfied' and 'Satisfied' percentages for the year 2017. 
3. Compare the two resulting values to identify which year has the larger gap.",,
line_multiple_2eiyyw562tcvjypp,2eiyyw562tcvjypp,How many years has Russia had higher favorability than the US?,"1. calculate the difference between Russia and the US
2. count the number of years that Russia is higher than the US",3,"1. Compare the ""U.S. favorability in Russia"" and ""Russia favorability in U.S."" percentages for each year provided in the data. 
2. Identify the years where the ""Russia favorability in U.S."" value is strictly greater than the ""U.S. favorability in Russia"" value. 
3. Counting these instances reveals that Russia had higher favorability than the U.S. in 2007, 2009, and 2015.",,
