chart_id,chart_type,ours_correct,baseline_correct,true_answer,gold_looks_wrong,ours_note,user_id,question,explanation,ops_selected,ops_others
2jromeq5u9lloh1s,line_simple,1,1,,0,,,,,,
13guplcbmfu1tjzu,bar_stacked,0,0,"Hungary (Germany+Italy exports = 0.004+0.069 = 0.073, highest of the four countries)",0,"Answer is Hungary; ours returned scalar 0.562 (no country, and the number matches no valid computation), so incorrect; gold/baseline have no spec.",,,,,
0q8vqyb35mbq0efx,bar_grouped,0,0,2015 (lowest combined total = 731 suicides),0,Both used global sum (9347 grand total) instead of per-year group-sum; correct answer is year 2015 with total 731.,,,,,
0o12tngadmjjux2n,bar_simple,0,1,9 years (avg = 2.7825; 9 of 16 years exceed it),0,"Q wants a count (9); baseline reduces to scalar 9.0 (correct); ours returns unreduced filtered rows, no count.",,,,,
10t8o5vhethzeod1,bar_stacked,1,1,,0,,,,,,
2o3fyauxv32p571i,line_simple,1,1,,0,,,,,,
11e148qcs7x70t8v,bar_stacked,1,1,"2016, 2017, 2018, and Jan-Oct 2019 (years where South Korea > France: diffs +0.036, +0.078, +0.111, +0.065)",0,"pairDiff(SK-France)>0 filter returns rows for 2016/2017/2018/Jan-Oct 2019, matching the computed answer.",,,,,
0s6zi9dyw22qo4rp,bar_simple,1,1,,0,,,,,,
2ebtadc07b7bo277,line_simple,0,0,2016 (second lowest value 3.74; lowest is 3.32 in 2010),0,Second lowest is 2016 (3.74); ours and baseline both returned 2011/4.88 which is wrong; gold correct.,,,,,
0prhtod4tli879nh,bar_grouped,1,1,,0,,,,,,
2jki13q54zizc6i4,line_simple,0,0,Jul 2013–Jun 2017 is higher (avg 3568.0 vs 3208.5 for Jul 2008–Jun 2012),0,Higher avg is period 2 (3568.0); gold compareBool=0 correctly says P1 not greater; ours returned 3620 (max of P1 only); baseline returned 3208.5 (the lower average).,,,,,
0pzdf7hfbxgjghsa,bar_simple,0,1,"1.17 (change 2016→2017 = 1.39, change 2017→2018 = 0.22; difference between the two changes = 1.17)",0,"Question compares two changes; ours returned only the first change (1.39), baseline correctly computed |1.39-0.22|=1.17.",,,,,
0rfuaawgi58ajpsv,bar_grouped,1,1,,0,,,,,,
0rdpculfpyw3bv5p,bar_grouped,1,1,,0,,,,,,
10x2rgiqw97wdspi,bar_stacked,0,0,"Seasons above average in both: 2015/16, 2016/17, 2017/18, 2018/19, 2019/20 (avg commercial ~257.82, avg broadcasting ~211.95)",0,"Ours only computed two averages (value NaN, no season selection); baseline used pairDiff>0 logic and returned empty; neither yields the 5 correct seasons.",,,,,
0qz3v0bszsex7jjm,bar_simple,1,1,"Average ≈ 3.395; below-average fiscal years: 00/01, 01/02, 02/03, 03/04, 04/05, 05/06, 06/07, 07/08, 08/09, 12/13 (10 years)",0,"All three compute average then filter < avg; final rows = the 10 below-average years; baseline's extra diffByValue is harmless, final filter identical.",,,,,
