#,chart_type,E,Q,chart_id,question,explanation,ops_spec,ops_note
1,simpleBar,2,1,0jbrb1dcbliiampz,How many years had investments of over 22 Billion Euros in the years 2011 to 2014?,Restrict attention to the bars for years 2011 through 2014. Check which of those bars have an investments value greater than 22 on the y-axis. Count the qualifying years to get 3.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2011"", ""2014""]}, {""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Investments in Billion Euros"", ""operator"": "">"", ""value"": 22}, {""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 1}}]}",exec: 3.0
2,stackedBar,2,2,11e148qcs7x70t8v,in which years does south korea have a bigger value than france?,"Compare the South Korea and France bar segments within each Period. Mark each Period where the South Korea segment is taller than the France segment. List those Period labels as 2015, 2016, 2017, 2018, and Jan-Oct 2019.","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Period"", ""groupA"": ""South Korea"", ""groupB"": ""France"", ""seriesField"": ""Country"", ""field"": ""Share_of_Import_Value""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share_of_Import_Value"", ""operator"": "">"", ""value"": 0}]}","exec: 2016, 2017, 2018, Jan-Oct 2019 (4)"
4,simpleLine,2,4,66va2s35es5t86l3,What is the year with the largest increase compared to the previous year?,"Calculate the increase in “In millions” between each adjacent pair of years shown on the line. Compare these year-to-year increases to find the largest one. Select the later year of the pair with the largest increase, which is 2010.","{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""In millions""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max""}]}",exec: 15.0 @ 2010
6,simpleBar,2,6,0gvrmm8qbn6o1vya,"What is the average of Season's ticket prices with a ticket price of $60 or less?
",Filter the bars to the seasons whose “Average ticket price in US dollars” is at or below 60. Sum those filtered ticket prices to get 320.43. Divide that sum by the count of filtered seasons (6) to get an average of 53.99.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average ticket price in US dollars"", ""operator"": ""<="", ""value"": 60}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Average ticket price in US dollars""}]}",exec: 53.405
9,simpleLine,2,9,10gtgmmgh599jnr7,What is the difference between the second largest and the smallest values between 2000 and 2008?,"Filter the chart to the years 2000 through 2008 inclusive. Sort those values by Percentage_of_Population to find the smallest value and the second-largest value. Subtract the smallest value from the second-largest value, leaving a difference of 0.019.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""<="", ""value"": ""2008""}, {""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""which"": ""max"", ""rank"": 2, ""field"": ""Percentage_of_Population""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""operator"": ""<="", ""value"": ""2008""}, {""op"": ""findExtremum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""which"": ""min"", ""field"": ""Percentage_of_Population""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""signed"": false}]}",exec: 0.023 [fix: range→≤2008]
10,multipleLine,2,10,1k8qhmg9rui7gtzh,What is the difference between the largest value in Germany and the smallest value in the U.S. between 2010 and 2015?,Filter the chart to the years 2010 through 2015 inclusive. Find the maximum Favorable_View_Percentage among Germany’s points in that range. Find the minimum Favorable_View_Percentage among the U.S. points in that range. Subtract the U.S. minimum from the Germany maximum to get 31.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": "">="", ""value"": ""2010""}, {""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""<="", ""value"": ""2015""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Favorable_View_Percentage"", ""group"": ""Germany""}], ""ops3"": [{""op"": ""findExtremum"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""which"": ""min"", ""field"": ""Favorable_View_Percentage"", ""group"": ""US""}], ""ops4"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n3"", ""n4""], ""sentenceIndex"": 4}, ""targetA"": ""ref:n3"", ""targetB"": ""ref:n4"", ""signed"": false}]}",exec: 31.0 [fix: between→ >=2010 & <=2015 (between dropped a 2015 2nd-series row)]
31,simpleBar,5,1,0wflwm4jebx7n12y,What is the difference between the average and the maximum number?,"Find the maximum bar height in the chart to get 380. Calculate the average of the “Number of fires” values across all years to get 230. Subtract the average from the maximum, leaving a difference of 150.","{""ops"": [{""op"": ""findExtremum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""which"": ""max"", ""field"": ""Number of fires""}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Number of fires""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""signed"": false}]}",exec: 141.25
33,groupedBar,5,3,0lua5jsw92d3enb4,How many diet types surpassed the threshold of 0.03% in 2019?,Focus on the bars for the year 2019 across all diet-type panels. Compare each 2019 bar’s height to the threshold value of 0.03 on the y-axis. Count the diet types whose 2019 share is strictly greater than 0.03. The total number that surpasses the threshold is 9.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""2019""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share of respondents"", ""operator"": "">"", ""value"": 0.03}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}",exec: 8.0
38,groupedBar,5,8,0egzejn5mejtnfdm,What is the difference between Scotland's largest value and England and Wales's smallest value?,Find Scotland’s highest SharePercentage across the response-category panels to get 28. Check England & Wales’s lowest SharePercentage across the same panels to get 2. Subtract the smaller value from the larger to get 26.,"{""ops"": [{""op"": ""findExtremum"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""which"": ""max"", ""field"": ""SharePercentage"", ""group"": ""Scotland""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""which"": ""min"", ""field"": ""SharePercentage"", ""group"": ""England & Wales""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""signed"": false}]}",exec: 26.0
41,simpleBar,6,1,1a09xqtrj8zms716,What is the average value of top 3 malls' per sqaure foot cost?,Sort the bars by US dollars per square foot in descending order. Select the top three malls’ values from the chart. Add those three values and divide by 3 to get an average of 600.,"{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""City (Street)"", ""target"": ""Sydney (Pitt Street Mall)""}, {""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""City (Street)"", ""target"": ""Melbourne (Bourke Street Mall)""}, {""op"": ""retrieveValue"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""City (Street)"", ""target"": ""Brisbane (Brisbane Mall)""}, {""op"": ""add"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 1}, ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2""}, {""op"": ""add"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n4"", ""n3""], ""sentenceIndex"": 1}, ""targetA"": ""ref:n4"", ""targetB"": ""ref:n3""}], ""ops2"": [{""op"": ""scale"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n5""], ""sentenceIndex"": 2}, ""target"": ""ref:n5"", ""factor"": 0.3333333333333333}]}",exec: 600.0
