"#","chart_type","chart_id","all_id","question","explanation","operation_spec","status","author_note","updated_at"
"1","line_simple","2jromeq5u9lloh1s","line_simple_2jromeq5u9lloh1s","Which years has the biggest jump?","1. Get the difference between every year
2. Get the extremum ","{""ops"":[{""op"":""lagDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Audience_Millions""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}","pending","",""
"2","bar_stacked","13guplcbmfu1tjzu","bar_stacked_13guplcbmfu1tjzu","Which country has the highest european factor?","1. Get the sum of germany and italy for each country
2. Get the country with the highest value","","empty","GAP: needs per-Country sum of two series (Germany+Italy) then max over countries (group-by-aggregate-then-extremum); not expressible in the 18-op grammar.",""
"3","bar_grouped","0q8vqyb35mbq0efx","bar_grouped_0q8vqyb35mbq0efx","Which year had the lowest amount of suicides of all ages combined?","1. Sum of all the age ranges for every year
2. Find the extremum (lowest)","","empty","GAP: needs per-Year sum across Age Group series then min over years (group-by-aggregate-then-extremum); not expressible as one chain in the 18-op grammar.",""
"4","bar_simple","0o12tngadmjjux2n","bar_simple_0o12tngadmjjux2n","How many years are above the average?","1. Find average
2. filter which countries are above the average","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Production in million units""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Production in million units"",""operator"":"">"",""value"":""ref:n1""}]}","pending","Explanation has 2 steps (average, filter); final count left implicit per the text.",""
"5","bar_stacked","10t8o5vhethzeod1","bar_stacked_10t8o5vhethzeod1","In which year was the agriculture sector the highest","1. get the all values from the agriculture sector
2. find the maximum value","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""group"":""Agriculture""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""field"":""Share_of_GDP""}]}","pending","",""
"6","line_simple","2o3fyauxv32p571i","line_simple_2o3fyauxv32p571i","Which year had the second-lowest value?","1. Sort  in ascending order by year
2. find the second lowest","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Operating_Profit_Margin"",""order"":""asc""}],""ops2"":[{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":2}]}","pending","",""
"7","bar_stacked","11e148qcs7x70t8v","bar_stacked_11e148qcs7x70t8v","in which years does south korea have a bigger value than france?","1. Get difference between south korea and france in every year
2. Filter the year with a positive value","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Period"",""groupA"":""South Korea"",""groupB"":""France"",""seriesField"":""Country"",""field"":""Share_of_Import_Value""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Share_of_Import_Value"",""operator"":"">"",""value"":0}]}","pending","",""
"8","bar_simple","0s6zi9dyw22qo4rp","bar_simple_0s6zi9dyw22qo4rp","What is the difference between the average of September 1896 until December 1896 and the average of January 1897 until April 1897?","1. calculate the average of sep 1896 until dec 1896
2. calculate the average of jan 1897 until april 1897
3. compare the two averages","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Month/Year"",""operator"":""between"",""value"":[""Sep 1896"",""Dec 1896""]},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Fatality rate among plague cases""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Month/Year"",""operator"":""between"",""value"":[""Jan 1897"",""Apr 1897""]},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Fatality rate among plague cases""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":false}]}","pending","diff of two period averages; between-slices are positional x ranges (note x also has an 'Average' bar; explanation scopes only the month ranges).",""
"9","line_simple","2ebtadc07b7bo277","line_simple_2ebtadc07b7bo277","Which year had the second lowest value?","1. sort the values from lowest to highest
2. find the second lowest ","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Average price in US dollars"",""order"":""asc""}],""ops2"":[{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":2}]}","pending","",""
"10","bar_grouped","0prhtod4tli879nh","bar_grouped_0prhtod4tli879nh","Which city had the biggest jump in population from 2010 to 2025?","1. get the difference of every city in every year
2. find the extremum","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""City"",""groupA"":""2025"",""groupB"":""2010"",""seriesField"":""Year"",""field"":""Population in millions"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""field"":""Population in millions""}]}","pending","Biggest jump per city across the two years -> pairDiff(by=City) then findExtremum max. |jump| via absolute.",""
"11","line_simple","2jki13q54zizc6i4","line_simple_2jki13q54zizc6i4","If you compare the average value from july 2008 until june 2012 and july 2013 until june 2017, which value is higher?","1. get the average from july 2008 until june 2012
2. get the average from july 2013 until june 2017
3. compare 
4. find extremum","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Period"",""operator"":""between"",""value"":[""Jul 2008 - Jun 2009"",""Jul 2011 - Jun 2012""]},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Number of trucks""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Period"",""operator"":""between"",""value"":[""Jul 2013 - Jun 2014"",""Jul 2016 - Jun 2017""]},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Number of trucks""}],""ops3"":[{""op"":""compareBool"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n2"",""targetB"":""ref:n4""}]}","pending","compare+find-extremum answered by compareBool(avg1 > avg2).",""
