chart_id,chart_type,status,question,explanation,operation_spec,feedback,updated_at
2jromeq5u9lloh1s,simpleLine,pending,Which years saw the largest jump? [edited],"Compare the year-to-year increases in Audience_Millions across the timeline. 
The largest increase occurs from 2010 (22.9) to 2011 (35.0), which is a jump of 12.1 million_igger than any other consecutive-year change in the data.","{""ops"":[{""op"":""lagDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""orderField"":""Year"",""order"":""asc"",""absolute"":false}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Audience_Millions"",""which"":""max""}]}",,2026-05-22T14:39:04Z
13guplcbmfu1tjzu,stackedBar,pending,which country has the highest european factor?,"Treat the _uropean factor as the combined impact from European partners listed in the data (Germany  exports and Italy  exports). 
For each country, add the Germany and Italy values, then compare these sums across countries. 
Hungary_ European sum (0.004 + 0.069 = 0.073) is higher than Czechia (0.003 + 0.064 = 0.067), Romania (0.002 + 0.038 = 0.040), and Poland (0.001 + 0.038 = 0.039).","{""ops"":[{""op"":""add"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""targetA"":""Germany"",""targetB"":""Italy"",""field"":""exports"",""group"":""Country""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}",,2026-05-22T14:40:12Z
0q8vqyb35mbq0efx,groupedBar,pending,which year had the lowest amount of suicides of all ages combined?,"Add the number of suicides across all four age groups for each year to get a yearly total. 
Compare these totals across all years and identify the smallest one. 
The totals show that 2019 has the lowest combined number of suicides (38 + 267 + 272 + 169 = 746), which is lower than every other year_ total.","{""ops"":[{""op"":""sum"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Number of suicides"",""group"":""Year""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""min""}]}",,2026-05-22T14:39:57Z
0o12tngadmjjux2n,simpleBar,pending,How many years is above the average?,"First, compute the average production across all listed years (19992014). 
Then compare each year_ production value to this average and count how many are greater than it. 
The years above the average are 2004, 2006, 2007, 2010, 2011, 2002, and 2003, giving a total of 7 years.","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Production""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""operator"":"">"",""value"":""ref:n1"",""field"":""Production""}],""ops3"":[{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}",,2026-05-22T14:40:00Z
10t8o5vhethzeod1,stackedBar,pending,In which year was the agriculture sector the highest?,"Look at the rows where the Sector is Agriculture and compare their Share_of_GDP values across all years. 
The largest agriculture value is 0.3498, which occurs in 2011, so agriculture is highest in that year.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Sector"",""operator"":""=="",""value"":""Agriculture""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Share_of_GDP"",""which"":""max""}]}",,2026-05-22T14:42:09Z
2o3fyauxv32p571i,simpleLine,pending,which year had the second lowest value?,"Read the Operating_Profit_Margin values for each year and rank them from lowest to highest. 
The lowest value is 0.07 in 2016. 
The next lowest value is 0.14, which occurs in both 2014 and 2015, so those years are tied for the second lowest.","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Operating_Profit_Margin"",""order"":""asc""}],""ops2"":[{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":2,""from"":""left"",""orderField"":""Operating_Profit_Margin""}]}",,2026-05-22T14:42:14Z
11e148qcs7x70t8v,stackedBar,pending,in which years does south korea have a bigger value than france?,"1. Compare South Korea_ Share_of_Import_Value to France_ for each period. 
2. In 2014 (0.106 vs 0.368) and 2015 (0.245 vs 0.285), South Korea is lower than France. 
3. In 2016 (0.287 vs 0.251), 2017 (0.288 vs 0.21), 2018 (0.288 vs 0.177), and Jan_ct 2019 (0.252 vs 0.187), South Korea_ value is higher than France_, so those are the periods where South Korea is bigger.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""South Korea"",""groupB"":""France"",""field"":""Share_of_Import_Value"",""signed"":true}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""operator"":"">"",""value"":0}]}",,2026-05-22T15:47:59Z
0s6zi9dyw22qo4rp,simpleBar,pending,compare the average of september 1896 until december 1896 to the average of january 1897 until april 1897.,"Take the four fatality rates from Sep_ec 1896 (0.5223, 0.5223, 0.6667, 0.7412) and compute their mean, which is about 0.613. 
Then take the four rates from Jan_pr 1897 (0.69, 0.8164, 0.6735, 0.5666) and compute their mean, about 0.686. 
Compare the two averages to see that the Jan_pr 1897 period is higher by roughly 0.073.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Month/Year"",""include"":[""Sep 1896"",""Oct 1896"",""Nov 1896"",""Dec 1896""]},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Fatality rate among plague cases""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Month/Year"",""include"":[""Jan 1897"",""Feb 1897"",""Mar 1897"",""Apr 1897""]},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Fatality rate among plague cases""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":true}]}",,2026-05-22T14:42:12Z
2ebtadc07b7bo277,simpleLine,pending,Which year had the second lowest value?,"Read the average price for each year and rank them from lowest to higher. 
The lowest value is in 2010 (3.32). 
The next smallest value is in 2016 (3.74), making 2016 the year with the second lowest value.","{""ops"":[{""op"":""sort"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Average price in US dollars"",""order"":""asc""}],""ops2"":[{""op"":""nth"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""n"":2,""from"":""left"",""orderField"":""Average price in US dollars""}]}",,2026-05-22T14:42:11Z
0prhtod4tli879nh,groupedBar,pending,which city had the biggest jump in population from 2010 to 2025?,"For each city, compare the population value in 2025 to the value in 2010 and compute the increase. 
Dhaka rises from 14.6 million (2010) to 20.9 million (2025), an increase of 6.3 million, which is larger than the increases for the other cities (e.g., Delhi +6.4? actually 28.622.2 = 6.4 is slightly larger_o Delhi is the biggest).","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""2025"",""groupB"":""2010"",""field"":""Population in millions"",""signed"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}",,2026-05-22T14:42:14Z
