participant_code,has_document,order_system,order_chart,systems_A,systems_B,systems_C,systems_D,n_trials_total,n_trials_answered,n_postsession_systems_done,final_comment,updated_at
SO1CO1,True,SO1,CO1,Ours,B1,B2,B3,20,20,4,,2026-07-16T10:15:31.956Z
SO1CO2,True,SO1,CO2,Ours,B1,B2,B3,20,20,4,Looking forward to the results :),2026-07-16T09:45:49.135Z
SO1CO3,True,SO1,CO3,Ours,B1,B2,B3,20,20,4,"너무 잘 만들었어요, 나라의 인재! The application is so well made!",2026-07-17T04:59:30.322Z
SO1CO4,True,SO1,CO4,Ours,B1,B2,B3,20,20,4,,2026-07-17T05:08:44.794Z
SO2CO1,True,SO2,CO1,B1,B2,B3,Ours,20,20,4,,2026-07-18T06:03:59.986Z
SO2CO2,True,SO2,CO2,B1,B2,B3,Ours,20,20,4,,2026-07-19T02:35:40.133Z
SO2CO3,False,,,,,,,,,,,
SO2CO4,False,,,,,,,,,,,
SO3CO1,False,,,,,,,,,,,
SO3CO2,False,,,,,,,,,,,
SO3CO3,False,,,,,,,,,,,
SO3CO4,False,,,,,,,,,,,
SO4CO1,False,,,,,,,,,,,
SO4CO2,False,,,,,,,,,,,
SO4CO3,False,,,,,,,,,,,
SO4CO4,False,,,,,,,,,,,
