Name,metres
Marmolada,3343
Tofana di Mezzo,3241
Monte Civetta,3220
Cristallo,3221
Cimon della Pala,3184
Pelmo,3169
Boespitze / Piz Boè (Sella group),3152
Piz Popena,3143
Zwölferkofel,3094
Sass Rigais (Geislerspitzen),3025
Tre Cime di Lavaredo (Drei Zinnen),2999
Pala di San Martino,2982
Marmarole,2961
Monte Agner,2872
Cima d'Asta,2848
Croda Grande,2839
Sass Maor,2816
Cima della Madonna (Sass Maor),2751
Croda da Lago,2716
Schlern,2562
Cima delle Dodici,2338
Cima di Posta,2235
