Year,Country,Production
2000,Australia,160
2000,Brazil,30000
2000,Canada,2290
2000,Nigeria,35
2000,Rwanda,28
2001,Australia,230
2001,Brazil,22000
2001,Canada,3200
2001,Nigeria,30
2001,Rwanda,120
2002,Australia,290
2002,Brazil,26000
2002,Canada,3410
2002,Nigeria,30
2002,Rwanda,76
2003,Australia,230
2003,Brazil,29000
2003,Canada,3280
2003,Nigeria,190
2003,Rwanda,22
2004,Australia,200
2004,Brazil,29900
2004,Canada,3400
2004,Nigeria,170
2004,Rwanda,63
2005,Australia,200
2005,Brazil,35000
2005,Canada,3310
2005,Nigeria,40
2005,Rwanda,63
2006,Australia,200
2006,Brazil,40000
2006,Canada,4167
2006,Nigeria,35
2006,Rwanda,80
