Religious,Group,Percentage
Hindu,"Growth (1991–2001)",20.30
Hindu,"Literacy (%)",65.10
Hindu,"Work participation (%)",40.40
Muslim,"Growth (1991–2001)",29.30
Muslim,"Literacy (%)",59.10
Muslim,"Work participation (%)",31.30
Christian,"Growth (1991–2001)",22.60
Christian,"Literacy (%)",80.30
Christian,"Work participation (%)",39.70
Sikh,"Growth (1991–2001)",18.20
Sikh,"Literacy (%)",69.40
Sikh,"Work participation (%)",37.70
Buddhist,"Growth (1991–2001)",18.20
Buddhist,"Literacy (%)",72.70
Buddhist,"Work participation (%)",40.60
"Animist, others","Growth (1991–2001)",103.10
"Animist, others","Literacy (%)",47.00
"Animist, others","Work participation (%)",48.40
Jain,"Growth (1991–2001)",26.00
Jain,"Literacy (%)",94.10
Jain,"Work participation (%)",32.90
