Year,Ethnicity,Population
1880,Romanian,43671
1880,Bulgarian,24915
1880,Turkish,18624
1880,Tatar,29476
1880,Russian-Lipovan,8250
1880,Ruthenian,455
1880,Dobrujan Germans,2461
1880,Greek,4015
1880,Roma,702
1899,Romanian,118919
1899,Bulgarian,38439
1899,Turkish,12146
1899,Tatar,28670
1899,Russian-Lipovan,12801
1899,Ruthenian,13680
1899,Dobrujan Germans,8566
1899,Greek,8445
1899,Roma,2252
1913,Romanian,216425
1913,Bulgarian,51149
1913,Turkish,20092
1913,Tatar,21350
1913,Russian-Lipovan,35859
1913,Ruthenian,35859
1913,Dobrujan Germans,7697
1913,Greek,9999
1913,Roma,3263
1930,Romanian,282844
1930,Bulgarian,42070
1930,Turkish,21748
1930,Tatar,15546
1930,Russian-Lipovan,26210
1930,Ruthenian,33
1930,Dobrujan Germans,12023
1930,Greek,7743
1930,Roma,3831
1956,Romanian,514331
1956,Bulgarian,749
1956,Turkish,11994
1956,Tatar,20239
1956,Russian-Lipovan,29944
1956,Ruthenian,7025
1956,Dobrujan Germans,735
1956,Greek,1399
1956,Roma,1176
1966,Romanian,622996
1966,Bulgarian,524
1966,Turkish,16209
1966,Tatar,21939
1966,Russian-Lipovan,30509
1966,Ruthenian,5154
1966,Dobrujan Germans,599
1966,Greek,908
1966,Roma,378
1977,Romanian,784934
1977,Bulgarian,415
1977,Turkish,21666
1977,Tatar,22875
1977,Russian-Lipovan,24098
1977,Ruthenian,2639
1977,Dobrujan Germans,648
1977,Greek,635
1977,Roma,2565
1992,Romanian,926608
1992,Bulgarian,311
1992,Turkish,27685
1992,Tatar,24185
1992,Russian-Lipovan,26154
1992,Ruthenian,4101
1992,Dobrujan Germans,677
1992,Greek,1230
1992,Roma,5983
2002,Romanian,883620
2002,Bulgarian,135
2002,Turkish,27580
2002,Tatar,23409
2002,Russian-Lipovan,21623
2002,Ruthenian,1465
2002,Dobrujan Germans,398
2002,Greek,2270
2002,Roma,8295
