Nation,Medal,Count
Nigeria,Gold,13
Nigeria,Silver,5
Nigeria,Bronze,6
South Africa,Gold,11
South Africa,Silver,11
South Africa,Bronze,8
Ethiopia,Gold,6
Ethiopia,Silver,3
Ethiopia,Bronze,2
Kenya,Gold,5
Kenya,Silver,4
Kenya,Bronze,8
Tunisia,Gold,2
Tunisia,Silver,2
Tunisia,Bronze,1
Senegal,Gold,2
Senegal,Silver,1
Senegal,Bronze,3
Ghana,Gold,2
Ghana,Silver,0
Ghana,Bronze,4
Cameroon,Gold,1
Cameroon,Silver,4
Cameroon,Bronze,1
Egypt,Gold,1
Egypt,Silver,1
Egypt,Bronze,2
Mauritius,Gold,1
Mauritius,Silver,0
Mauritius,Bronze,1
Mozambique,Gold,1
Mozambique,Silver,0
Mozambique,Bronze,0
Algeria,Gold,0
Algeria,Silver,8
Algeria,Bronze,1
Madagascar,Gold,0
Madagascar,Silver,2
Madagascar,Bronze,1
