Candidate,County,Votes
Feinstein,San Francisco,250972
Feinstein,Santa Cruz,76327
Feinstein,Santa Clara,364997
Feinstein,Los Angeles,1552223
Feinstein,Sacramento,237722
Feinstein,Santa Barbara,77900
Feinstein,San Diego,442855
Feinstein,Sierra,818
Feinstein,Riverside,187548
Feinstein,Orange,377170
Seymour,San Francisco,49165
Seymour,Santa Cruz,28562
Seymour,Santa Clara,181858
Seymour,Los Angeles,899656
Seymour,Sacramento,168318
Seymour,Santa Barbara,67043
Seymour,San Diego,411362
Seymour,Sierra,808
Seymour,Riverside,191258
Seymour,Orange,481810
Horne,San Francisco,5062
Horne,Santa Cruz,2801
Horne,Santa Clara,12646
Horne,Los Angeles,84093
Horne,Sacramento,13228
Horne,Santa Barbara,5386
Horne,San Diego,30287
Horne,Sierra,45
Horne,Riverside,14808
Horne,Orange,27056
Meeuwenberg,San Francisco,1919
Meeuwenberg,Santa Cruz,2072
Meeuwenberg,Santa Clara,12912
Meeuwenberg,Los Angeles,55380
Meeuwenberg,Sacramento,12716
Meeuwenberg,Santa Barbara,3535
Meeuwenberg,San Diego,29149
Meeuwenberg,Sierra,63
Meeuwenberg,Riverside,16632
Meeuwenberg,Orange,32316
Boddie,San Francisco,4233
Boddie,Santa Cruz,2686
Boddie,Santa Clara,14518
Boddie,Los Angeles,52123
Boddie,Sacramento,10113
Boddie,Santa Barbara,3101
Boddie,San Diego,29212
Boddie,Sierra,79
Boddie,Riverside,10689
Boddie,Orange,27729
