year,case,number
2012,deaths,794
2011,deaths,828
2010,deaths,1115
2009,deaths,1103
2008,deaths,884
2007,deaths,971
2006,deaths,1294
2005,deaths,1459
2004,deaths,771
2003,deaths,1230
2002,deaths,1413
2001,deaths,4140
2000,deaths,1582
1999,deaths,1138
2012,accidents,700
2011,accidents,117
2010,accidents,130
2009,accidents,122
2008,accidents,156
2007,accidents,147
2006,accidents,166
2005,accidents,185
2004,accidents,172
2003,accidents,199
2002,accidents,185
2001,accidents,200
2000,accidents,189
1999,accidents,211
