Month,Type,Temperature
Jan,Average high °F,55.4
Feb,Average high °F,61.5
Mar,Average high °F,65.9
Apr,Average high °F,71.1
May,Average high °F,78
Jun,Average high °F,84.4
Jul,Average high °F,89
Aug,Average high °F,88.8
Sep,Average high °F,86.6
Oct,Average high °F,78.3
Nov,Average high °F,65.4
Dec,Average high °F,56
Jan,Average low °F,37.6
Feb,Average low °F,41.1
Mar,Average low °F,43.3
Apr,Average low °F,45.8
May,Average low °F,50.3
Jun,Average low °F,54
Jul,Average low °F,56
Aug,Average low °F,56
Sep,Average low °F,54.5
Oct,Average low °F,49.8
Nov,Average low °F,42.7
Dec,Average low °F,37.9
