Year,Type,Count
1980,Birth,571018
1981,Birth,533008
1982,Birth,515706
1983,Birth,485352
1984,Birth,473281
1985,Birth,456298
1986,Birth,438750
1987,Birth,426782
1988,Birth,418919
1989,Birth,408434
1990,Birth,401425
1991,Birth,395989
1992,Birth,396747
1993,Birth,385786
1994,Birth,370148
1995,Birth,363469
1996,Birth,362626
1997,Birth,369035
1998,Birth,365193
1999,Birth,380130
2000,Birth,397632
2001,Birth,406380
2002,Birth,418846
2003,Birth,441881
2004,Birth,454591
2005,Birth,466371
2006,Birth,482957
2007,Birth,492527
2008,Birth,518503
2009,Birth,493717
2010,Birth,485252
2011,Birth,470553
2012,Birth,454648
1980,Deaths,289344
1981,Deaths,293386
1982,Deaths,286655
1983,Deaths,302569
1984,Deaths,299409
1985,Deaths,312532
1986,Deaths,310413
1987,Deaths,310073
1988,Deaths,319437
1989,Deaths,324796
1990,Deaths,333142
1991,Deaths,337691
1992,Deaths,331515
1993,Deaths,339661
1994,Deaths,338242
1995,Deaths,346227
1996,Deaths,351449
1997,Deaths,349521
1998,Deaths,360511
1999,Deaths,371102
2000,Deaths,360391
2001,Deaths,360131
2002,Deaths,368618
2003,Deaths,384828
2004,Deaths,371934
2005,Deaths,387355
2006,Deaths,371478
2007,Deaths,385361
2008,Deaths,384198
2009,Deaths,383209
2010,Deaths,380234
2011,Deaths,386017
2012,Deaths,402950
,Deaths,
