Year,Type,Passengers
2006,Domestic,764831
2007,Domestic,764674
2008,Domestic,709779
2009,Domestic,605534
2010,Domestic,595457
2011,Domestic,850305
2012,Domestic,899854
2013,Domestic,745178
2006,International,83115
2007,International,75276
2008,International,92176
2009,International,82424
2010,International,105119
2011,International,123607
2012,International,178679
2013,International,131902
2006,Total,847946
2007,Total,839950
2008,Total,801955
2009,Total,687958
2010,Total,700576
2011,Total,973912
2012,Total,1078533
2013,Total,877080
